"","Pop","Theta","Growth","samplingSize","n.haplotypes","hap.diversity","Max.Gamma.value"
"138",1,"two","yes",4,1,0.5504204,1
"139",1,"two","yes",4,2,0.5504204,2
"140",1,"two","yes",4,3,0.5504204,4
"141",1,"two","yes",4,1,0.5504204,1
"142",1,"two","yes",4,3,0.5504204,4
"143",1,"two","yes",4,2,0.5504204,2
"144",1,"two","yes",4,2,0.5504204,2
"145",1,"two","yes",4,2,0.5504204,2
"146",1,"two","yes",4,1,0.5504204,1
"147",1,"two","yes",4,2,0.5504204,2
"148",1,"two","yes",4,2,0.5504204,2
"149",1,"two","yes",4,1,0.5504204,1
"150",1,"two","yes",4,2,0.5504204,2
"151",1,"two","yes",4,3,0.5504204,4
"152",1,"two","yes",4,3,0.5504204,4
"153",1,"two","yes",4,1,0.5504204,1
"154",1,"two","yes",4,1,0.5504204,1
"155",1,"two","yes",4,2,0.5504204,2
"156",1,"two","yes",4,2,0.5504204,2
"157",1,"two","yes",4,1,0.5504204,1
"158",1,"two","yes",4,2,0.5504204,2
"159",1,"two","yes",4,2,0.5504204,2
"160",1,"two","yes",4,2,0.5504204,2
"161",1,"two","yes",4,2,0.5504204,2
"162",1,"two","yes",4,2,0.5504204,2
"163",1,"two","yes",4,2,0.5504204,2
"164",1,"two","yes",4,3,0.5504204,4
"165",1,"two","yes",4,2,0.5504204,2
"166",1,"two","yes",4,3,0.5504204,4
"167",1,"two","yes",4,3,0.5504204,4
"168",1,"two","yes",4,3,0.5504204,4
"169",1,"two","yes",4,1,0.5504204,1
"170",1,"two","yes",4,3,0.5504204,4
"171",1,"two","yes",4,3,0.5504204,4
"172",1,"two","yes",4,3,0.5504204,4
"173",1,"two","yes",4,2,0.5504204,2
"174",1,"two","yes",4,2,0.5504204,2
"175",1,"two","yes",4,4,0.5504204,5
"176",1,"two","yes",4,3,0.5504204,4
"177",1,"two","yes",4,2,0.5504204,2
"178",1,"two","yes",4,3,0.5504204,4
"179",1,"two","yes",4,1,0.5504204,1
"180",1,"two","yes",4,1,0.5504204,1
"181",1,"two","yes",4,3,0.5504204,4
"182",1,"two","yes",4,2,0.5504204,2
"183",1,"two","yes",4,4,0.5504204,5
"184",1,"two","yes",4,2,0.5504204,2
"185",1,"two","yes",4,2,0.5504204,2
"186",1,"two","yes",4,1,0.5504204,1
"187",1,"two","yes",4,2,0.5504204,2
"188",1,"two","yes",4,2,0.5504204,2
"189",1,"two","yes",4,2,0.5504204,2
"190",1,"two","yes",4,3,0.5504204,4
"191",1,"two","yes",4,1,0.5504204,1
"192",1,"two","yes",4,2,0.5504204,2
"193",1,"two","yes",4,3,0.5504204,4
"194",1,"two","yes",4,3,0.5504204,4
"195",1,"two","yes",4,2,0.5504204,2
"196",1,"two","yes",4,1,0.5504204,1
"197",1,"two","yes",4,3,0.5504204,4
"198",1,"two","yes",4,2,0.5504204,2
"199",1,"two","yes",4,2,0.5504204,2
"200",1,"two","yes",4,3,0.5504204,4
"201",1,"two","yes",8,3,0.5504204,4
"202",1,"two","yes",8,3,0.5504204,4
"203",1,"two","yes",8,5,0.5504204,7
"204",1,"two","yes",8,4,0.5504204,5
"205",1,"two","yes",8,3,0.5504204,4
"206",1,"two","yes",8,4,0.5504204,5
"207",1,"two","yes",8,3,0.5504204,4
"208",1,"two","yes",8,4,0.5504204,5
"209",1,"two","yes",8,4,0.5504204,5
"210",1,"two","yes",8,3,0.5504204,4
"211",1,"two","yes",8,2,0.5504204,2
"212",1,"two","yes",8,4,0.5504204,5
"213",1,"two","yes",8,3,0.5504204,4
"214",1,"two","yes",8,3,0.5504204,4
"215",1,"two","yes",8,4,0.5504204,5
"216",1,"two","yes",8,4,0.5504204,5
"217",1,"two","yes",8,2,0.5504204,2
"218",1,"two","yes",8,3,0.5504204,4
"219",1,"two","yes",8,2,0.5504204,2
"220",1,"two","yes",8,2,0.5504204,2
"221",1,"two","yes",8,2,0.5504204,2
"222",1,"two","yes",8,3,0.5504204,4
"223",1,"two","yes",8,4,0.5504204,5
"224",1,"two","yes",8,4,0.5504204,5
"225",1,"two","yes",8,4,0.5504204,5
"226",1,"two","yes",8,4,0.5504204,5
"227",1,"two","yes",8,3,0.5504204,4
"228",1,"two","yes",8,3,0.5504204,4
"229",1,"two","yes",8,3,0.5504204,4
"230",1,"two","yes",8,5,0.5504204,7
"231",1,"two","yes",8,4,0.5504204,5
"232",1,"two","yes",8,2,0.5504204,2
"233",1,"two","yes",8,3,0.5504204,4
"234",1,"two","yes",8,3,0.5504204,4
"235",1,"two","yes",8,3,0.5504204,4
"236",1,"two","yes",8,5,0.5504204,7
"237",1,"two","yes",8,3,0.5504204,4
"238",1,"two","yes",8,3,0.5504204,4
"239",1,"two","yes",8,4,0.5504204,5
"240",1,"two","yes",8,3,0.5504204,4
"241",1,"two","yes",8,2,0.5504204,2
"242",1,"two","yes",8,3,0.5504204,4
"243",1,"two","yes",8,3,0.5504204,4
"244",1,"two","yes",8,4,0.5504204,5
"245",1,"two","yes",8,4,0.5504204,5
"246",1,"two","yes",8,3,0.5504204,4
"247",1,"two","yes",8,2,0.5504204,2
"248",1,"two","yes",8,4,0.5504204,5
"249",1,"two","yes",8,4,0.5504204,5
"250",1,"two","yes",8,3,0.5504204,4
"251",1,"two","yes",8,3,0.5504204,4
"252",1,"two","yes",8,1,0.5504204,1
"253",1,"two","yes",8,3,0.5504204,4
"254",1,"two","yes",8,2,0.5504204,2
"255",1,"two","yes",8,3,0.5504204,4
"256",1,"two","yes",8,2,0.5504204,2
"257",1,"two","yes",8,3,0.5504204,4
"258",1,"two","yes",8,3,0.5504204,4
"259",1,"two","yes",8,3,0.5504204,4
"260",1,"two","yes",8,3,0.5504204,4
"261",1,"two","yes",8,2,0.5504204,2
"262",1,"two","yes",8,2,0.5504204,2
"263",1,"two","yes",8,5,0.5504204,7
"264",1,"two","yes",8,2,0.5504204,2
"265",1,"two","yes",8,2,0.5504204,2
"266",1,"two","yes",8,2,0.5504204,2
"267",1,"two","yes",8,3,0.5504204,4
"268",1,"two","yes",8,3,0.5504204,4
"269",1,"two","yes",8,4,0.5504204,5
"270",1,"two","yes",8,3,0.5504204,4
"271",1,"two","yes",8,2,0.5504204,2
"272",1,"two","yes",8,4,0.5504204,5
"273",1,"two","yes",8,3,0.5504204,4
"274",1,"two","yes",8,4,0.5504204,5
"275",1,"two","yes",8,3,0.5504204,4
"276",1,"two","yes",8,3,0.5504204,4
"277",1,"two","yes",8,2,0.5504204,2
"278",1,"two","yes",8,3,0.5504204,4
"279",1,"two","yes",8,3,0.5504204,4
"280",1,"two","yes",8,2,0.5504204,2
"281",1,"two","yes",8,4,0.5504204,5
"282",1,"two","yes",8,2,0.5504204,2
"283",1,"two","yes",8,4,0.5504204,5
"284",1,"two","yes",8,3,0.5504204,4
"285",1,"two","yes",8,3,0.5504204,4
"286",1,"two","yes",8,4,0.5504204,5
"287",1,"two","yes",8,3,0.5504204,4
"288",1,"two","yes",8,2,0.5504204,2
"289",1,"two","yes",8,3,0.5504204,4
"290",1,"two","yes",8,4,0.5504204,5
"291",1,"two","yes",8,3,0.5504204,4
"292",1,"two","yes",8,5,0.5504204,7
"293",1,"two","yes",8,4,0.5504204,5
"294",1,"two","yes",8,2,0.5504204,2
"295",1,"two","yes",8,3,0.5504204,4
"296",1,"two","yes",8,3,0.5504204,4
"297",1,"two","yes",8,4,0.5504204,5
"298",1,"two","yes",8,3,0.5504204,4
"299",1,"two","yes",8,3,0.5504204,4
"300",1,"two","yes",8,5,0.5504204,7
"301",1,"two","yes",16,5,0.5504204,7
"302",1,"two","yes",16,4,0.5504204,5
"303",1,"two","yes",16,5,0.5504204,7
"304",1,"two","yes",16,4,0.5504204,5
"305",1,"two","yes",16,4,0.5504204,5
"306",1,"two","yes",16,4,0.5504204,5
"307",1,"two","yes",16,4,0.5504204,5
"308",1,"two","yes",16,5,0.5504204,7
"309",1,"two","yes",16,5,0.5504204,7
"310",1,"two","yes",16,3,0.5504204,4
"311",1,"two","yes",16,3,0.5504204,4
"312",1,"two","yes",16,4,0.5504204,5
"313",1,"two","yes",16,6,0.5504204,8
"314",1,"two","yes",16,6,0.5504204,8
"315",1,"two","yes",16,4,0.5504204,5
"316",1,"two","yes",16,3,0.5504204,4
"317",1,"two","yes",16,4,0.5504204,5
"318",1,"two","yes",16,4,0.5504204,5
"319",1,"two","yes",16,5,0.5504204,7
"320",1,"two","yes",16,5,0.5504204,7
"321",1,"two","yes",16,5,0.5504204,7
"322",1,"two","yes",16,6,0.5504204,8
"323",1,"two","yes",16,5,0.5504204,7
"324",1,"two","yes",16,4,0.5504204,5
"325",1,"two","yes",16,4,0.5504204,5
"326",1,"two","yes",16,4,0.5504204,5
"327",1,"two","yes",16,4,0.5504204,5
"328",1,"two","yes",16,2,0.5504204,2
"329",1,"two","yes",16,4,0.5504204,5
"330",1,"two","yes",16,4,0.5504204,5
"331",1,"two","yes",16,4,0.5504204,5
"332",1,"two","yes",16,4,0.5504204,5
"333",1,"two","yes",16,5,0.5504204,7
"334",1,"two","yes",16,5,0.5504204,7
"335",1,"two","yes",16,3,0.5504204,4
"336",1,"two","yes",16,5,0.5504204,7
"337",1,"two","yes",16,3,0.5504204,4
"338",1,"two","yes",16,4,0.5504204,5
"339",1,"two","yes",16,4,0.5504204,5
"340",1,"two","yes",16,4,0.5504204,5
"341",1,"two","yes",16,3,0.5504204,4
"342",1,"two","yes",16,7,0.5504204,10
"343",1,"two","yes",16,4,0.5504204,5
"344",1,"two","yes",16,5,0.5504204,7
"345",1,"two","yes",16,2,0.5504204,2
"346",1,"two","yes",16,5,0.5504204,7
"347",1,"two","yes",16,4,0.5504204,5
"348",1,"two","yes",16,4,0.5504204,5
"349",1,"two","yes",16,5,0.5504204,7
"350",1,"two","yes",16,5,0.5504204,7
"351",1,"two","yes",16,4,0.5504204,5
"352",1,"two","yes",16,3,0.5504204,4
"353",1,"two","yes",16,4,0.5504204,5
"354",1,"two","yes",16,4,0.5504204,5
"355",1,"two","yes",16,5,0.5504204,7
"356",1,"two","yes",16,5,0.5504204,7
"357",1,"two","yes",16,5,0.5504204,7
"358",1,"two","yes",16,5,0.5504204,7
"359",1,"two","yes",16,3,0.5504204,4
"360",1,"two","yes",16,3,0.5504204,4
"361",1,"two","yes",16,4,0.5504204,5
"362",1,"two","yes",16,4,0.5504204,5
"363",1,"two","yes",16,4,0.5504204,5
"364",1,"two","yes",16,4,0.5504204,5
"365",1,"two","yes",16,4,0.5504204,5
"366",1,"two","yes",16,4,0.5504204,5
"367",1,"two","yes",16,4,0.5504204,5
"368",1,"two","yes",16,4,0.5504204,5
"369",1,"two","yes",16,5,0.5504204,7
"370",1,"two","yes",16,5,0.5504204,7
"371",1,"two","yes",16,4,0.5504204,5
"372",1,"two","yes",16,3,0.5504204,4
"373",1,"two","yes",16,4,0.5504204,5
"374",1,"two","yes",16,3,0.5504204,4
"375",1,"two","yes",16,4,0.5504204,5
"376",1,"two","yes",16,3,0.5504204,4
"377",1,"two","yes",16,4,0.5504204,5
"378",1,"two","yes",16,5,0.5504204,7
"379",1,"two","yes",16,3,0.5504204,4
"380",1,"two","yes",16,4,0.5504204,5
"381",1,"two","yes",16,3,0.5504204,4
"382",1,"two","yes",16,5,0.5504204,7
"383",1,"two","yes",16,4,0.5504204,5
"384",1,"two","yes",16,5,0.5504204,7
"385",1,"two","yes",16,4,0.5504204,5
"386",1,"two","yes",16,3,0.5504204,4
"387",1,"two","yes",16,4,0.5504204,5
"388",1,"two","yes",16,2,0.5504204,2
"389",1,"two","yes",16,3,0.5504204,4
"390",1,"two","yes",16,3,0.5504204,4
"391",1,"two","yes",16,3,0.5504204,4
"392",1,"two","yes",16,4,0.5504204,5
"393",1,"two","yes",16,4,0.5504204,5
"394",1,"two","yes",16,4,0.5504204,5
"395",1,"two","yes",16,5,0.5504204,7
"396",1,"two","yes",16,4,0.5504204,5
"397",1,"two","yes",16,3,0.5504204,4
"398",1,"two","yes",16,4,0.5504204,5
"399",1,"two","yes",16,3,0.5504204,4
"400",1,"two","yes",16,3,0.5504204,4
"401",1,"two","yes",32,5,0.5504204,7
"402",1,"two","yes",32,5,0.5504204,7
"403",1,"two","yes",32,5,0.5504204,7
"404",1,"two","yes",32,4,0.5504204,5
"405",1,"two","yes",32,6,0.5504204,8
"406",1,"two","yes",32,5,0.5504204,7
"407",1,"two","yes",32,5,0.5504204,7
"408",1,"two","yes",32,3,0.5504204,4
"409",1,"two","yes",32,4,0.5504204,5
"410",1,"two","yes",32,6,0.5504204,8
"411",1,"two","yes",32,5,0.5504204,7
"412",1,"two","yes",32,6,0.5504204,8
"413",1,"two","yes",32,4,0.5504204,5
"414",1,"two","yes",32,4,0.5504204,5
"415",1,"two","yes",32,5,0.5504204,7
"416",1,"two","yes",32,4,0.5504204,5
"417",1,"two","yes",32,5,0.5504204,7
"418",1,"two","yes",32,5,0.5504204,7
"419",1,"two","yes",32,5,0.5504204,7
"420",1,"two","yes",32,5,0.5504204,7
"421",1,"two","yes",32,5,0.5504204,7
"422",1,"two","yes",32,5,0.5504204,7
"423",1,"two","yes",32,5,0.5504204,7
"424",1,"two","yes",32,5,0.5504204,7
"425",1,"two","yes",32,5,0.5504204,7
"426",1,"two","yes",32,5,0.5504204,7
"427",1,"two","yes",32,4,0.5504204,5
"428",1,"two","yes",32,5,0.5504204,7
"429",1,"two","yes",32,7,0.5504204,10
"430",1,"two","yes",32,4,0.5504204,5
"431",1,"two","yes",32,4,0.5504204,5
"432",1,"two","yes",32,7,0.5504204,10
"433",1,"two","yes",32,5,0.5504204,7
"434",1,"two","yes",32,5,0.5504204,7
"435",1,"two","yes",32,6,0.5504204,8
"436",1,"two","yes",32,4,0.5504204,5
"437",1,"two","yes",32,6,0.5504204,8
"438",1,"two","yes",32,5,0.5504204,7
"439",1,"two","yes",32,4,0.5504204,5
"440",1,"two","yes",32,6,0.5504204,8
"441",1,"two","yes",32,7,0.5504204,10
"442",1,"two","yes",32,5,0.5504204,7
"443",1,"two","yes",32,6,0.5504204,8
"444",1,"two","yes",32,7,0.5504204,10
"445",1,"two","yes",32,5,0.5504204,7
"446",1,"two","yes",32,5,0.5504204,7
"447",1,"two","yes",32,4,0.5504204,5
"448",1,"two","yes",32,4,0.5504204,5
"449",1,"two","yes",32,6,0.5504204,8
"450",1,"two","yes",32,5,0.5504204,7
"451",1,"two","yes",32,5,0.5504204,7
"452",1,"two","yes",32,3,0.5504204,4
"453",1,"two","yes",32,6,0.5504204,8
"454",1,"two","yes",32,4,0.5504204,5
"455",1,"two","yes",32,6,0.5504204,8
"456",1,"two","yes",32,5,0.5504204,7
"457",1,"two","yes",32,4,0.5504204,5
"458",1,"two","yes",32,6,0.5504204,8
"459",1,"two","yes",32,4,0.5504204,5
"460",1,"two","yes",32,6,0.5504204,8
"461",1,"two","yes",32,5,0.5504204,7
"462",1,"two","yes",32,5,0.5504204,7
"463",1,"two","yes",32,6,0.5504204,8
"464",1,"two","yes",32,4,0.5504204,5
"465",1,"two","yes",32,5,0.5504204,7
"466",1,"two","yes",32,4,0.5504204,5
"467",1,"two","yes",32,7,0.5504204,10
"468",1,"two","yes",32,5,0.5504204,7
"469",1,"two","yes",32,5,0.5504204,7
"470",1,"two","yes",32,3,0.5504204,4
"471",1,"two","yes",32,6,0.5504204,8
"472",1,"two","yes",32,6,0.5504204,8
"473",1,"two","yes",32,5,0.5504204,7
"474",1,"two","yes",32,5,0.5504204,7
"475",1,"two","yes",32,5,0.5504204,7
"476",1,"two","yes",32,6,0.5504204,8
"477",1,"two","yes",32,4,0.5504204,5
"478",1,"two","yes",32,6,0.5504204,8
"479",1,"two","yes",32,4,0.5504204,5
"480",1,"two","yes",32,4,0.5504204,5
"481",1,"two","yes",32,5,0.5504204,7
"482",1,"two","yes",32,5,0.5504204,7
"483",1,"two","yes",32,5,0.5504204,7
"484",1,"two","yes",32,5,0.5504204,7
"485",1,"two","yes",32,3,0.5504204,4
"486",1,"two","yes",32,6,0.5504204,8
"487",1,"two","yes",32,7,0.5504204,10
"488",1,"two","yes",32,6,0.5504204,8
"489",1,"two","yes",32,4,0.5504204,5
"490",1,"two","yes",32,4,0.5504204,5
"491",1,"two","yes",32,4,0.5504204,5
"492",1,"two","yes",32,6,0.5504204,8
"493",1,"two","yes",32,6,0.5504204,8
"494",1,"two","yes",32,4,0.5504204,5
"495",1,"two","yes",32,5,0.5504204,7
"496",1,"two","yes",32,5,0.5504204,7
"497",1,"two","yes",32,5,0.5504204,7
"498",1,"two","yes",32,5,0.5504204,7
"499",1,"two","yes",32,5,0.5504204,7
"500",1,"two","yes",32,5,0.5504204,7
"501",1,"two","yes",64,7,0.5504204,10
"502",1,"two","yes",64,6,0.5504204,8
"503",1,"two","yes",64,6,0.5504204,8
"504",1,"two","yes",64,5,0.5504204,7
"505",1,"two","yes",64,6,0.5504204,8
"506",1,"two","yes",64,5,0.5504204,7
"507",1,"two","yes",64,6,0.5504204,8
"508",1,"two","yes",64,6,0.5504204,8
"509",1,"two","yes",64,7,0.5504204,10
"510",1,"two","yes",64,6,0.5504204,8
"511",1,"two","yes",64,6,0.5504204,8
"512",1,"two","yes",64,5,0.5504204,7
"513",1,"two","yes",64,6,0.5504204,8
"514",1,"two","yes",64,6,0.5504204,8
"515",1,"two","yes",64,6,0.5504204,8
"516",1,"two","yes",64,5,0.5504204,7
"517",1,"two","yes",64,5,0.5504204,7
"518",1,"two","yes",64,5,0.5504204,7
"519",1,"two","yes",64,6,0.5504204,8
"520",1,"two","yes",64,5,0.5504204,7
"521",1,"two","yes",64,5,0.5504204,7
"522",1,"two","yes",64,6,0.5504204,8
"523",1,"two","yes",64,5,0.5504204,7
"524",1,"two","yes",64,5,0.5504204,7
"525",1,"two","yes",64,6,0.5504204,8
"526",1,"two","yes",64,5,0.5504204,7
"527",1,"two","yes",64,4,0.5504204,5
"528",1,"two","yes",64,5,0.5504204,7
"529",1,"two","yes",64,5,0.5504204,7
"530",1,"two","yes",64,7,0.5504204,10
"531",1,"two","yes",64,6,0.5504204,8
"532",1,"two","yes",64,6,0.5504204,8
"533",1,"two","yes",64,6,0.5504204,8
"534",1,"two","yes",64,7,0.5504204,10
"535",1,"two","yes",64,5,0.5504204,7
"536",1,"two","yes",64,5,0.5504204,7
"537",1,"two","yes",64,5,0.5504204,7
"538",1,"two","yes",64,6,0.5504204,8
"539",1,"two","yes",64,7,0.5504204,10
"540",1,"two","yes",64,5,0.5504204,7
"541",1,"two","yes",64,7,0.5504204,10
"542",1,"two","yes",64,8,0.5504204,11
"543",1,"two","yes",64,5,0.5504204,7
"544",1,"two","yes",64,4,0.5504204,5
"545",1,"two","yes",64,5,0.5504204,7
"546",1,"two","yes",64,5,0.5504204,7
"547",1,"two","yes",64,5,0.5504204,7
"548",1,"two","yes",64,5,0.5504204,7
"549",1,"two","yes",64,5,0.5504204,7
"550",1,"two","yes",64,8,0.5504204,11
"551",1,"two","yes",64,5,0.5504204,7
"552",1,"two","yes",64,8,0.5504204,11
"553",1,"two","yes",64,6,0.5504204,8
"554",1,"two","yes",64,5,0.5504204,7
"555",1,"two","yes",64,5,0.5504204,7
"556",1,"two","yes",64,5,0.5504204,7
"557",1,"two","yes",64,5,0.5504204,7
"558",1,"two","yes",64,5,0.5504204,7
"559",1,"two","yes",64,4,0.5504204,5
"560",1,"two","yes",64,5,0.5504204,7
"561",1,"two","yes",64,6,0.5504204,8
"562",1,"two","yes",64,7,0.5504204,10
"563",1,"two","yes",64,7,0.5504204,10
"564",1,"two","yes",64,7,0.5504204,10
"565",1,"two","yes",64,7,0.5504204,10
"566",1,"two","yes",64,5,0.5504204,7
"567",1,"two","yes",64,4,0.5504204,5
"568",1,"two","yes",64,7,0.5504204,10
"569",1,"two","yes",64,7,0.5504204,10
"570",1,"two","yes",64,4,0.5504204,5
"571",1,"two","yes",64,7,0.5504204,10
"572",1,"two","yes",64,7,0.5504204,10
"573",1,"two","yes",64,6,0.5504204,8
"574",1,"two","yes",64,5,0.5504204,7
"575",1,"two","yes",64,7,0.5504204,10
"576",1,"two","yes",64,6,0.5504204,8
"577",1,"two","yes",64,7,0.5504204,10
"578",1,"two","yes",64,4,0.5504204,5
"579",1,"two","yes",64,6,0.5504204,8
"580",1,"two","yes",64,6,0.5504204,8
"581",1,"two","yes",64,5,0.5504204,7
"582",1,"two","yes",64,7,0.5504204,10
"583",1,"two","yes",64,5,0.5504204,7
"584",1,"two","yes",64,6,0.5504204,8
"585",1,"two","yes",64,5,0.5504204,7
"586",1,"two","yes",64,6,0.5504204,8
"587",1,"two","yes",64,6,0.5504204,8
"588",1,"two","yes",64,6,0.5504204,8
"589",1,"two","yes",64,5,0.5504204,7
"590",1,"two","yes",64,6,0.5504204,8
"591",1,"two","yes",64,5,0.5504204,7
"592",1,"two","yes",64,7,0.5504204,10
"593",1,"two","yes",64,7,0.5504204,10
"594",1,"two","yes",64,6,0.5504204,8
"595",1,"two","yes",64,6,0.5504204,8
"596",1,"two","yes",64,6,0.5504204,8
"597",1,"two","yes",64,6,0.5504204,8
"598",1,"two","yes",64,7,0.5504204,10
"599",1,"two","yes",64,5,0.5504204,7
"600",1,"two","yes",64,5,0.5504204,7
"601",1,"two","yes",128,6,0.5504204,8
"602",1,"two","yes",128,7,0.5504204,10
"603",1,"two","yes",128,6,0.5504204,8
"604",1,"two","yes",128,10,0.5504204,14
