Theta,Growth,samplingSize,n.haplotypes,n.seg.sites
two,no,16,3,3
two,no,16,1,0
two,no,16,3,3
two,no,16,3,4
two,no,16,2,1
two,no,16,3,3
two,no,16,3,2
two,no,16,1,0
two,no,16,3,4
two,no,16,4,5
two,no,16,2,2
two,no,16,2,1
two,no,16,3,3
two,no,16,3,2
two,no,16,6,8
two,no,16,3,3
two,no,16,2,1
two,no,16,4,5
two,no,16,2,2
two,no,16,3,3
two,no,16,4,5
two,no,16,4,4
two,no,16,5,6
two,no,16,2,2
two,no,16,5,6
two,no,16,3,3
two,no,16,6,8
two,no,16,2,2
two,no,16,3,4
two,no,16,3,3
two,no,16,3,2
two,no,16,4,4
two,no,16,2,1
two,no,16,2,1
two,no,16,2,2
two,no,16,3,3
two,no,16,3,4
two,no,16,2,2
two,no,16,3,3
two,no,16,1,0
two,no,16,3,3
two,no,16,2,2
two,no,16,3,4
two,no,16,3,4
two,no,16,3,3
two,no,16,4,6
two,no,16,4,5
two,no,16,2,1
two,no,16,2,2
two,no,16,2,2
two,no,16,4,5
two,no,16,3,3
two,no,16,4,3
two,no,16,3,4
two,no,16,4,4
two,no,16,5,6
two,no,16,3,3
two,no,16,4,3
two,no,16,1,0
two,no,16,2,2
two,no,16,4,4
two,no,16,2,1
two,no,16,5,7
two,no,16,2,2
two,no,16,2,2
two,no,16,4,4
two,no,16,2,2
two,no,16,4,5
two,no,16,4,5
two,no,16,2,2
two,no,16,2,2
two,no,16,2,2
two,no,16,3,4
two,no,16,3,3
two,no,16,4,5
two,no,16,3,3
two,no,16,6,7
two,no,16,3,3
two,no,16,5,5
two,no,16,4,5
two,no,16,4,4
two,no,16,2,1
two,no,16,4,5
two,no,32,4,4
two,no,32,3,3
two,no,32,5,5
two,no,32,3,3
two,no,32,4,5
two,no,32,5,6
two,no,32,3,4
two,no,32,3,3
two,no,32,5,7
two,no,32,3,2
two,no,32,7,8
two,no,32,2,2
two,no,32,5,5
two,no,32,5,5
two,no,32,6,7
two,no,32,3,4
two,no,32,4,4
two,no,32,6,6
two,no,32,5,6
two,no,32,3,3
two,no,32,5,5
two,no,32,4,5
two,no,32,5,6
two,no,32,4,4
two,no,32,7,8
two,no,32,4,4
two,no,32,5,7
two,no,32,4,4
two,no,32,7,9
two,no,32,3,3
two,no,32,5,5
two,no,32,3,4
two,no,32,4,4
two,no,32,5,6
two,no,32,5,6
two,no,32,7,9
two,no,32,5,6
two,no,32,4,5
two,no,32,6,8
two,no,32,4,5
two,no,32,6,8
two,no,32,5,6
two,no,32,3,4
two,no,32,4,5
two,no,32,5,7
two,no,32,6,6
two,no,32,6,7
two,no,32,5,6
two,no,32,2,2
two,no,32,6,8
two,no,32,5,5
two,no,32,6,8
two,no,32,4,5
two,no,32,5,6
two,no,32,5,4
two,no,32,3,3
two,no,32,4,5
two,no,32,5,6
two,no,32,7,8
two,no,32,4,5
two,no,32,6,7
two,no,32,4,4
two,no,32,5,6
two,no,32,6,7
two,no,32,6,6
two,no,32,4,4
two,no,32,5,6
two,no,32,5,7
two,no,32,4,5
two,no,32,5,6
two,no,32,5,6
two,no,32,6,7
two,no,32,4,3
two,no,32,5,6
two,no,32,4,3
two,no,32,5,6
two,no,32,4,5
two,no,32,3,4
two,no,32,6,6
two,no,32,6,7
two,no,32,3,3
two,no,32,4,5
two,no,32,4,5
two,no,32,4,4
two,no,32,5,6
two,no,32,5,7
two,no,32,3,3
two,no,32,5,6
two,no,32,7,8
two,no,32,4,5
two,no,32,6,7
two,no,32,5,7
two,no,32,3,4
two,no,32,3,3
two,no,32,5,6
two,no,32,5,5
two,no,32,5,6
two,no,32,5,7
two,no,32,4,4
two,no,32,5,6
two,no,64,7,7
two,no,64,7,8
two,no,64,7,8
two,no,64,8,9
two,no,64,5,6
two,no,64,5,7
two,no,64,7,9
two,no,64,8,9
two,no,64,6,7
two,no,64,6,8
two,no,64,7,8
two,no,64,9,10
two,no,64,8,10
two,no,64,8,10
two,no,64,8,9
two,no,64,7,9
two,no,64,6,6
two,no,64,8,10
two,no,64,7,8
two,no,64,6,7
two,no,64,10,11
two,no,64,7,9
two,no,64,8,8
two,no,64,6,6
two,no,64,7,8
two,no,64,7,9
two,no,64,6,7
two,no,64,7,7
two,no,64,8,9
two,no,64,5,5
two,no,64,6,7
two,no,64,7,8
two,no,64,10,11
two,no,64,8,9
two,no,64,7,8
two,no,64,6,8
two,no,64,5,6
two,no,64,6,7
two,no,64,6,7
two,no,64,8,9
two,no,64,9,10
two,no,64,5,6
two,no,64,4,5
two,no,64,7,9
two,no,64,9,11
two,no,64,7,8
two,no,64,5,5
two,no,64,6,8
two,no,64,6,6
two,no,64,7,7
two,no,64,6,7
two,no,64,7,8
two,no,64,5,6
two,no,64,8,9
two,no,64,3,3
two,no,64,5,5
two,no,64,7,9
two,no,64,6,8
two,no,64,8,10
two,no,64,5,5
two,no,64,7,8
two,no,64,7,8
two,no,64,5,5
two,no,64,6,8
two,no,64,7,9
two,no,64,7,9
two,no,64,8,9
two,no,64,5,5
two,no,64,7,8
two,no,64,7,8
two,no,64,8,9
two,no,64,9,9
two,no,64,7,8
two,no,64,7,7
two,no,64,6,8
two,no,64,9,11
two,no,64,5,5
two,no,64,5,6
two,no,64,8,9
two,no,64,6,7
