n,expHap.t2,varHap.t2,expHap.t10,varHap.t10,expHap.t20,varHap.t20
45,6.833374492,5.339656415,17.4646214,9.782798742,23.92302493,10.61612193
46,6.875927683,5.380398833,17.64643958,9.931559073,24.23071724,10.82913968
47,6.91759435,5.420329388,17.82501101,10.07824275,24.53374754,11.04034262
48,6.958410677,5.459479742,18.0004496,10.22290264,24.832255,11.24974338
49,6.998410677,5.497879742,18.1728634,10.36558992,25.12637265,11.45735584
50,7.037626363,5.535557558,18.34235492,10.50635407,25.41622772,11.66319495
51,7.076087901,5.572539807,18.50902159,10.64524296,25.70194201,11.86727658
52,7.11382375,5.608851662,18.67295602,10.78230289,25.98363215,12.06961738
53,7.150860787,5.644516957,18.83424634,10.91757864,26.26140993,12.27023467
54,7.187224424,5.679558279,18.9929765,11.05111354,26.53538253,12.46914628
55,7.22293871,5.713997054,19.1492265,11.18294947,26.8056528,12.66637054
56,7.258026429,5.747853626,19.30307265,11.31312699,27.07231947,12.86192609
57,7.292509187,5.781147324,19.4545878,11.4416853,27.33547736,13.05583191
58,7.326407493,5.813896534,19.60384153,11.56866235,27.59521762,13.24810717
59,7.359740826,5.846118756,19.75090036,11.69409488,27.85162788,13.4387712
60,7.392527711,5.877830661,19.89582789,11.81801842,28.10479244,13.62784347
61,7.424785776,5.909048143,20.03868504,11.9404674,28.35479244,13.81534347
62,7.456531807,5.939786364,20.17953011,12.06147514,28.60170602,14.00129073
63,7.487781807,5.970059802,20.318419,12.18107391,28.84560846,14.18570477
64,7.518551038,5.999882287,20.4554053,12.29929496,29.08657231,14.36860505
65,7.548854068,6.029267044,20.59054043,12.41616859,29.32466755,14.55001094
66,7.578704815,6.058226723,20.72387377,12.53172415,29.55996167,14.72994174
67,7.608116579,6.086773436,20.85545271,12.64599007,29.79251981,14.90841659
68,7.637102087,6.114918783,20.98532284,12.75899395,30.02240486,15.08545451
69,7.665673515,6.142673885,21.11352797,12.87076253,30.24967759,15.26107434
70,7.693842529,6.170049406,21.24011025,12.98132173,30.47439669,15.43529477
