Theta,n,segSites,prob
two,11,3,0.116835419
two,12,3,0.111262093
two,13,3,0.106023604
two,14,3,0.101122418
two,15,3,0.096547715
two,16,3,0.092282017
two,17,3,0.088304929
two,18,3,0.08459527
two,19,3,0.081132243
two,20,3,0.077896061
two,21,3,0.074868249
two,22,3,0.072031756
two,23,3,0.069370963
two,24,3,0.066871625
two,25,3,0.064520788
two,26,3,0.062306687
two,27,3,0.060218646
two,28,3,0.058246978
two,29,3,0.056382884
two,30,3,0.054618371
two,31,3,0.052946171
two,32,3,0.051359663
two,33,3,0.049852814
ten,1,3,0
ten,2,3,0.068301346
ten,3,3,0.040152074
ten,4,3,0.020590524
ten,5,3,0.010531752
ten,6,3,0.005532967
ten,7,3,0.003006223
ten,8,3,0.001689642
ten,9,3,0.000980523
ten,10,3,0.000586033
ten,11,3,0.000359814
ten,12,3,0.000226403
ten,13,3,0.000145675
ten,14,3,9.57E-05
ten,15,3,6.40E-05
ten,16,3,4.36E-05
ten,17,3,3.01E-05
ten,18,3,2.11E-05
ten,19,3,1.50E-05
ten,20,3,1.08E-05
ten,21,3,7.87E-06
ten,22,3,5.79E-06
ten,23,3,4.31E-06
ten,24,3,3.23E-06
ten,25,3,2.45E-06
ten,26,3,1.87E-06
ten,27,3,1.44E-06
ten,28,3,1.12E-06
ten,29,3,8.71E-07
ten,30,3,6.84E-07
ten,31,3,5.39E-07
ten,32,3,4.26E-07
ten,33,3,3.39E-07
twenty,1,3,0
twenty,2,3,0.041135124
twenty,3,3,0.013968902
twenty,4,3,0.004264321
twenty,5,3,0.001333752
twenty,6,3,0.000438945
twenty,7,3,0.000152698
twenty,8,3,5.61E-05
twenty,9,3,2.16E-05
twenty,10,3,8.74E-06
twenty,11,3,3.69E-06
twenty,12,3,1.61E-06
twenty,13,3,7.33E-07
twenty,14,3,3.44E-07
twenty,15,3,1.66E-07
twenty,16,3,8.25E-08
twenty,17,3,4.21E-08
twenty,18,3,2.20E-08
