Theta,n,segSites,prob
twenty,21,34,0.005264892
twenty,22,34,0.004720091
twenty,23,34,0.004231352
twenty,24,34,0.003793454
twenty,25,34,0.00340147
twenty,26,34,0.003050813
twenty,27,34,0.00273726
twenty,28,34,0.002456951
twenty,29,34,0.002206384
twenty,30,34,0.001982394
twenty,31,34,0.001782131
twenty,32,34,0.001603039
twenty,33,34,0.001442829
two,1,35,0
two,2,35,2.29E-07
two,3,35,4.58E-07
two,4,35,6.87E-07
two,5,35,9.16E-07
two,6,35,1.14E-06
two,7,35,1.37E-06
two,8,35,1.60E-06
two,9,35,1.83E-06
two,10,35,2.06E-06
two,11,35,2.29E-06
two,12,35,2.52E-06
two,13,35,2.75E-06
two,14,35,2.97E-06
two,15,35,3.20E-06
two,16,35,3.43E-06
two,17,35,3.66E-06
two,18,35,3.89E-06
two,19,35,4.12E-06
two,20,35,4.35E-06
two,21,35,4.58E-06
two,22,35,4.80E-06
two,23,35,5.03E-06
two,24,35,5.26E-06
two,25,35,5.49E-06
two,26,35,5.72E-06
two,27,35,5.95E-06
two,28,35,6.18E-06
two,29,35,6.40E-06
two,30,35,6.63E-06
two,31,35,6.86E-06
two,32,35,7.09E-06
two,33,35,7.32E-06
ten,1,35,0
ten,2,35,0.003234918
ten,3,35,0.006187671
ten,4,35,0.008881979
ten,5,35,0.011339371
ten,6,35,0.013579408
ten,7,35,0.015619887
ten,8,35,0.017477019
ten,9,35,0.01916559
ten,10,35,0.020699096
ten,11,35,0.022089875
ten,12,35,0.023349211
ten,13,35,0.024487441
ten,14,35,0.025514038
ten,15,35,0.026437692
ten,16,35,0.027266385
ten,17,35,0.028007449
ten,18,35,0.02866763
ten,19,35,0.029253136
ten,20,35,0.029769685
ten,21,35,0.030222545
ten,22,35,0.030616579
ten,23,35,0.030956272
ten,24,35,0.031245766
ten,25,35,0.031488889
ten,26,35,0.031689179
ten,27,35,0.03184991
ten,28,35,0.031974111
ten,29,35,0.032064587
ten,30,35,0.032123936
ten,31,35,0.032154565
ten,32,35,0.032158708
ten,33,35,0.032138434
twenty,1,35,0
twenty,2,35,0.008632871
twenty,3,35,0.014030823
twenty,4,35,0.017173277
twenty,5,35,0.018757486
twenty,6,35,0.019279668
twenty,7,35,0.019092411
twenty,8,35,0.018445469
twenty,9,35,0.017514872
twenty,10,35,0.016423761
twenty,11,35,0.015257342
twenty,12,35,0.014073654
twenty,13,35,0.012911328
twenty,14,35,0.011795191
twenty,15,35,0.010740305
twenty,16,35,0.009754898
twenty,17,35,0.008842459
twenty,18,35,0.008003264
twenty,19,35,0.007235457
twenty,20,35,0.006535827
twenty,21,35,0.00590036
twenty,22,35,0.005324619
twenty,23,35,0.004804015
twenty,24,35,0.004333987
twenty,25,35,0.003910116
twenty,26,35,0.003528203
twenty,27,35,0.003184315
twenty,28,35,0.002874798
twenty,29,35,0.002596292
twenty,30,35,0.002345722
twenty,31,35,0.002120286
twenty,32,35,0.001917444
twenty,33,35,0.0017349
two,1,36,0
two,2,36,1.53E-07
two,3,36,3.05E-07
two,4,36,4.58E-07
two,5,36,6.10E-07
two,6,36,7.63E-07
two,7,36,9.16E-07
two,8,36,1.07E-06
two,9,36,1.22E-06
two,10,36,1.37E-06
two,11,36,1.53E-06
two,12,36,1.68E-06
two,13,36,1.83E-06
two,14,36,1.98E-06
two,15,36,2.14E-06
two,16,36,2.29E-06
two,17,36,2.44E-06
two,18,36,2.59E-06
two,19,36,2.75E-06
two,20,36,2.90E-06
two,21,36,3.05E-06
two,22,36,3.20E-06
two,23,36,3.36E-06
two,24,36,3.51E-06
two,25,36,3.66E-06
two,26,36,3.81E-06
two,27,36,3.97E-06
two,28,36,4.12E-06
two,29,36,4.27E-06
two,30,36,4.42E-06
two,31,36,4.58E-06
two,32,36,4.73E-06
two,33,36,4.88E-06
ten,1,36,0
ten,2,36,0.002940835
ten,3,36,0.005646531
ten,4,36,0.008135337
ten,5,36,0.010423933
ten,6,36,0.012527583
ten,7,36,0.014460273
ten,8,36,0.016234829
ten,9,36,0.01786303
ten,10,36,0.019355696
ten,11,36,0.020722786
ten,12,36,0.021973464
ten,13,36,0.023116181
ten,14,36,0.024158727
ten,15,36,0.025108296
ten,16,36,0.025971531
ten,17,36,0.026754577
ten,18,36,0.027463115
ten,19,36,0.028102408
ten,20,36,0.028677331
ten,21,36,0.029192403
ten,22,36,0.029651814
ten,23,36,0.030059457
ten,24,36,0.030418945
ten,25,36,0.030733634
ten,26,36,0.031006647
ten,27,36,0.031240887
ten,28,36,0.031439055
ten,29,36,0.031603669
ten,30,36,0.031737071
ten,31,36,0.031841444
ten,32,36,0.031918826
ten,33,36,0.031971113
twenty,1,36,0
twenty,2,36,0.008221782
twenty,3,36,0.013502728
twenty,4,36,0.01669451
twenty,5,36,0.018413657
twenty,6,36,0.019106466
twenty,7,36,0.019095654
twenty,8,36,0.018614035
twenty,9,36,0.017828919
twenty,10,36,0.016859844
twenty,11,36,0.015791509
twenty,12,36,0.014683215
twenty,13,36,0.013575786
twenty,14,36,0.012496637
twenty,15,36,0.011463501
twenty,16,36,0.010487156
twenty,17,36,0.009573436
twenty,18,36,0.008724694
twenty,19,36,0.007940885
twenty,20,36,0.007220343
twenty,21,36,0.006560351
twenty,22,36,0.005957555
twenty,23,36,0.00540825
twenty,24,36,0.004908593
twenty,25,36,0.00445474
twenty,26,36,0.004042946
twenty,27,36,0.003669628
twenty,28,36,0.003331403
twenty,29,36,0.003025107
twenty,30,36,0.002747807
twenty,31,36,0.002496798
twenty,32,36,0.0022696
twenty,33,36,0.002063946
two,1,37,0
two,2,37,1.02E-07
two,3,37,2.03E-07
two,4,37,3.05E-07
two,5,37,4.07E-07
two,6,37,5.09E-07
two,7,37,6.10E-07
two,8,37,7.12E-07
two,9,37,8.14E-07
two,10,37,9.16E-07
two,11,37,1.02E-06
two,12,37,1.12E-06
two,13,37,1.22E-06
two,14,37,1.32E-06
two,15,37,1.42E-06
two,16,37,1.53E-06
two,17,37,1.63E-06
two,18,37,1.73E-06
two,19,37,1.83E-06
two,20,37,1.93E-06
two,21,37,2.03E-06
two,22,37,2.14E-06
two,23,37,2.24E-06
two,24,37,2.34E-06
two,25,37,2.44E-06
two,26,37,2.54E-06
two,27,37,2.64E-06
two,28,37,2.75E-06
two,29,37,2.85E-06
two,30,37,2.95E-06
two,31,37,3.05E-06
two,32,37,3.15E-06
two,33,37,3.25E-06
ten,1,37,0
ten,2,37,0.002673486
ten,3,37,0.005151024
ten,4,37,0.007446649
ten,5,37,0.00957328
ten,6,37,0.011542815
ten,7,37,0.013366226
ten,8,37,0.01505364
ten,9,37,0.016614412
ten,10,37,0.018057193
ten,11,37,0.019389989
ten,12,37,0.020620216
ten,13,37,0.021754745
ten,14,37,0.022799955
ten,15,37,0.023761764
ten,16,37,0.024645671
ten,17,37,0.025456788
ten,18,37,0.026199872
ten,19,37,0.02687935
ten,20,37,0.027499343
ten,21,37,0.028063696
ten,22,37,0.028575992
ten,23,37,0.029039575
ten,24,37,0.029457566
ten,25,37,0.02983288
ten,26,37,0.030168242
ten,27,37,0.030466199
ten,28,37,0.030729133
ten,29,37,0.030959274
ten,30,37,0.031158709
ten,31,37,0.031329393
ten,32,37,0.031473157
ten,33,37,0.031591718
twenty,1,37,0
twenty,2,37,0.007830268
twenty,3,37,0.01298705
twenty,4,37,0.016210928
twenty,5,37,0.018046535
twenty,6,37,0.01889448
twenty,7,37,0.019049229
twenty,8,37,0.018726863
twenty,9,37,0.018085474
twenty,10,37,0.017240212
twenty,11,37,0.01627441
twenty,12,37,0.015247833
twenty,13,37,0.014202804
twenty,14,37,0.013168763
twenty,15,37,0.012165668
twenty,16,37,0.011206518
twenty,17,37,0.01029925
twenty,18,37,0.009448139
twenty,19,37,0.008654847
twenty,20,37,0.007919204
twenty,21,37,0.007239777
twenty,22,37,0.006614303
twenty,23,37,0.006039992
twenty,24,37,0.00551376
twenty,25,37,0.005032387
twenty,26,37,0.004592635
twenty,27,37,0.004191328
twenty,28,37,0.003825402
twenty,29,37,0.003491946
twenty,30,37,0.003188215
twenty,31,37,0.002911649
twenty,32,37,0.002659865
twenty,33,37,0.002430666
two,1,38,0
two,2,38,6.78E-08
two,3,38,1.36E-07
two,4,38,2.03E-07
two,5,38,2.71E-07
two,6,38,3.39E-07
two,7,38,4.07E-07
two,8,38,4.75E-07
two,9,38,5.43E-07
two,10,38,6.10E-07
two,11,38,6.78E-07
two,12,38,7.46E-07
two,13,38,8.14E-07
two,14,38,8.82E-07
two,15,38,9.49E-07
two,16,38,1.02E-06
two,17,38,1.09E-06
two,18,38,1.15E-06
two,19,38,1.22E-06
two,20,38,1.29E-06
two,21,38,1.36E-06
two,22,38,1.42E-06
two,23,38,1.49E-06
two,24,38,1.56E-06
two,25,38,1.63E-06
two,26,38,1.70E-06
two,27,38,1.76E-06
two,28,38,1.83E-06
two,29,38,1.90E-06
two,30,38,1.97E-06
two,31,38,2.03E-06
two,32,38,2.10E-06
two,33,38,2.17E-06
ten,1,38,0
ten,2,38,0.002430442
ten,3,38,0.004697594
ten,4,38,0.006812252
ten,5,38,0.008784415
ten,6,38,0.010623349
ten,7,38,0.012337647
ten,8,38,0.01393529
ten,9,38,0.015423691
ten,10,38,0.016809745
ten,11,38,0.018099867
ten,12,38,0.019300033
ten,13,38,0.020415811
ten,14,38,0.021452396
ten,15,38,0.022414632
ten,16,38,0.023307048
ten,17,38,0.024133871
ten,18,38,0.024899057
ten,19,38,0.025606304
ten,20,38,0.026259076
ten,21,38,0.026860616
ten,22,38,0.027413963
ten,23,38,0.027921967
ten,24,38,0.0283873
ten,25,38,0.028812471
ten,26,38,0.029199834
ten,27,38,0.029551602
ten,28,38,0.029869854
ten,29,38,0.030156543
ten,30,38,0.030413509
ten,31,38,0.03064248
ten,32,38,0.030845084
ten,33,38,0.031022854
twenty,1,38,0
twenty,2,38,0.007457398
twenty,3,38,0.012484355
twenty,4,38,0.015724853
twenty,5,38,0.017659588
twenty,6,38,0.018647502
twenty,7,38,0.018956523
twenty,8,38,0.018786405
twenty,9,38,0.01828574
twenty,10,38,0.017564687
twenty,11,38,0.016704502
twenty,12,38,0.015764716
twenty,13,38,0.014788521
twenty,14,38,0.01380685
twenty,15,38,0.012841449
twenty,16,38,0.011907203
twenty,17,38,0.011013896
twenty,18,38,0.010167541
twenty,19,38,0.009371386
twenty,20,38,0.008626677
twenty,21,38,0.007933227
twenty,22,38,0.00728985
twenty,23,38,0.006694679
twenty,24,38,0.006145415
twenty,25,38,0.005639493
twenty,26,38,0.005174223
twenty,27,38,0.004746877
twenty,28,38,0.00435476
twenty,29,38,0.003995254
twenty,30,38,0.003665851
twenty,31,38,0.00336417
twenty,32,38,0.003087972
twenty,33,38,0.002835162
two,1,39,0
two,2,39,4.52E-08
two,3,39,9.04E-08
two,4,39,1.36E-07
two,5,39,1.81E-07
two,6,39,2.26E-07
two,7,39,2.71E-07
two,8,39,3.17E-07
two,9,39,3.62E-07
two,10,39,4.07E-07
two,11,39,4.52E-07
two,12,39,4.97E-07
two,13,39,5.43E-07
two,14,39,5.88E-07
two,15,39,6.33E-07
two,16,39,6.78E-07
two,17,39,7.23E-07
two,18,39,7.69E-07
two,19,39,8.14E-07
two,20,39,8.59E-07
two,21,39,9.04E-07
two,22,39,9.49E-07
two,23,39,9.95E-07
two,24,39,1.04E-06
two,25,39,1.09E-06
two,26,39,1.13E-06
two,27,39,1.18E-06
two,28,39,1.22E-06
two,29,39,1.27E-06
two,30,39,1.31E-06
two,31,39,1.36E-06
two,32,39,1.40E-06
two,33,39,1.45E-06
ten,1,39,0
ten,2,39,0.002209493
ten,3,39,0.00428291
ten,4,39,0.006228558
ten,5,39,0.00805417
ten,6,39,0.009766956
ten,7,39,0.011373638
ten,8,39,0.012880492
ten,9,39,0.01429338
ten,10,39,0.015617783
ten,11,39,0.016858825
ten,12,39,0.018021305
ten,13,39,0.019109717
ten,14,39,0.020128273
ten,15,39,0.021080923
ten,16,39,0.021971373
ten,17,39,0.022803103
ten,18,39,0.023579382
ten,19,39,0.024303283
ten,20,39,0.024977694
ten,21,39,0.025605335
ten,22,39,0.026188764
ten,23,39,0.02673039
ten,24,39,0.027232484
ten,25,39,0.027697186
ten,26,39,0.028126514
ten,27,39,0.028522372
ten,28,39,0.028886556
ten,29,39,0.029220763
ten,30,39,0.029526595
ten,31,39,0.029805566
ten,32,39,0.030059107
ten,33,39,0.030288571
twenty,1,39,0
twenty,2,39,0.007102284
twenty,3,39,0.011995075
twenty,4,39,0.015238361
twenty,5,39,0.01725605
twenty,6,39,0.018369211
twenty,7,39,0.01882099
twenty,8,39,0.018795371
twenty,9,39,0.018431349
twenty,10,39,0.017833651
twenty,11,39,0.017080885
twenty,12,39,0.016231744
twenty,13,39,0.015329729
twenty,14,39,0.014406772
twenty,15,39,0.013485993
twenty,16,39,0.012583827
twenty,17,39,0.011711643
twenty,18,39,0.010876993
twenty,19,39,0.010084569
twenty,20,39,0.009336932
twenty,21,39,0.00863508
twenty,22,39,0.00797887
twenty,23,39,0.007367351
twenty,24,39,0.006799008
twenty,25,39,0.006271956
twenty,26,39,0.005784075
twenty,27,39,0.005333119
twenty,28,39,0.004916796
twenty,29,39,0.00453282
twenty,30,39,0.004178955
twenty,31,39,0.003853041
twenty,32,39,0.003553014
twenty,33,39,0.003276917
two,1,40,0
two,2,40,3.01E-08
two,3,40,6.03E-08
two,4,40,9.04E-08
two,5,40,1.21E-07
two,6,40,1.51E-07
two,7,40,1.81E-07
two,8,40,2.11E-07
two,9,40,2.41E-07
two,10,40,2.71E-07
two,11,40,3.01E-07
two,12,40,3.32E-07
two,13,40,3.62E-07
two,14,40,3.92E-07
two,15,40,4.22E-07
two,16,40,4.52E-07
two,17,40,4.82E-07
two,18,40,5.12E-07
two,19,40,5.43E-07
two,20,40,5.73E-07
two,21,40,6.03E-07
two,22,40,6.33E-07
two,23,40,6.63E-07
two,24,40,6.93E-07
two,25,40,7.23E-07
two,26,40,7.54E-07
two,27,40,7.84E-07
two,28,40,8.14E-07
two,29,40,8.44E-07
two,30,40,8.74E-07
two,31,40,9.04E-07
two,32,40,9.34E-07
two,33,40,9.64E-07
ten,1,40,0
ten,2,40,0.00200863
ten,3,40,0.003903863
ten,4,40,0.00569209
ten,5,40,0.00737929
ten,6,40,0.008971067
ten,7,40,0.010472674
ten,8,40,0.011889037
ten,9,40,0.013224783
ten,10,40,0.014484257
ten,11,40,0.015671541
ten,12,40,0.016790476
ten,13,40,0.017844677
ten,14,40,0.018837544
ten,15,40,0.019772285
ten,16,40,0.02065192
ten,17,40,0.021479298
ten,18,40,0.022257107
ten,19,40,0.022987884
ten,20,40,0.023674026
ten,21,40,0.024317795
ten,22,40,0.024921333
ten,23,40,0.025486664
ten,24,40,0.0260157
ten,25,40,0.026510255
ten,26,40,0.026972043
ten,27,40,0.02740269
ten,28,40,0.027803735
ten,29,40,0.028176637
ten,30,40,0.02852278
ten,31,40,0.028843477
ten,32,40,0.029139972
ten,33,40,0.029413448
twenty,1,40,0
twenty,2,40,0.00676408
twenty,3,40,0.01151953
twenty,4,40,0.014753296
twenty,5,40,0.016838925
twenty,6,40,0.018063154
twenty,7,40,0.018646104
twenty,8,40,0.018756672
twenty,9,40,0.018524299
twenty,10,40,0.01804799
twenty,11,40,0.017403253
twenty,12,40,0.016647441
twenty,13,40,0.015823871
twenty,14,40,0.014965023
twenty,15,40,0.014095006
twenty,16,40,0.013231475
twenty,17,40,0.012387124
twenty,18,40,0.011570837
twenty,19,40,0.01078859
twenty,20,40,0.01004415
twenty,21,40,0.009339615
twenty,22,40,0.008675837
twenty,23,40,0.008052748
twenty,24,40,0.007469613
twenty,25,40,0.006925224
twenty,26,40,0.006418046
twenty,27,40,0.005946339
twenty,28,40,0.005508236
twenty,29,40,0.005101813
twenty,30,40,0.004725136
twenty,31,40,0.004376298
twenty,32,40,0.004053442
twenty,33,40,0.003754778
two,1,41,0
two,2,41,2.01E-08
two,3,41,4.02E-08
two,4,41,6.03E-08
two,5,41,8.04E-08
two,6,41,1.00E-07
two,7,41,1.21E-07
two,8,41,1.41E-07
two,9,41,1.61E-07
two,10,41,1.81E-07
two,11,41,2.01E-07
two,12,41,2.21E-07
two,13,41,2.41E-07
two,14,41,2.61E-07
two,15,41,2.81E-07
two,16,41,3.01E-07
two,17,41,3.22E-07
two,18,41,3.42E-07
two,19,41,3.62E-07
two,20,41,3.82E-07
two,21,41,4.02E-07
two,22,41,4.22E-07
two,23,41,4.42E-07
two,24,41,4.62E-07
two,25,41,4.82E-07
two,26,41,5.02E-07
two,27,41,5.22E-07
two,28,41,5.43E-07
two,29,41,5.63E-07
two,30,41,5.83E-07
two,31,41,6.03E-07
two,32,41,6.23E-07
two,33,41,6.43E-07
ten,1,41,0
ten,2,41,0.001826027
ten,3,41,0.003557557
ten,4,41,0.005199505
ten,5,41,0.006756494
ten,6,41,0.008232876
ten,7,41,0.00963275
ten,8,41,0.010959978
ten,9,41,0.012218203
ten,10,41,0.013410863
ten,11,41,0.014541202
ten,12,41,0.015612285
ten,13,41,0.016627008
ten,14,41,0.017588111
ten,15,41,0.018498184
ten,16,41,0.019359678
ten,17,41,0.020174917
ten,18,41,0.020946098
ten,19,41,0.021675308
ten,20,41,0.022364521
ten,21,41,0.023015612
ten,22,41,0.023630361
ten,23,41,0.024210456
ten,24,41,0.024757499
ten,25,41,0.025273016
ten,26,41,0.025758452
ten,27,41,0.026215185
ten,28,41,0.026644523
ten,29,41,0.027047711
ten,30,41,0.027425934
ten,31,41,0.027780319
ten,32,41,0.028111942
ten,33,41,0.028421824
twenty,1,41,0
twenty,2,41,0.006441981
twenty,3,41,0.011057935
twenty,4,41,0.014271292
twenty,5,41,0.016410986
twenty,6,41,0.01773272
twenty,7,41,0.018435323
twenty,8,41,0.01867336
twenty,9,41,0.018566887
twenty,10,41,0.018209027
twenty,11,41,0.017671845
twenty,12,41,0.017010939
twenty,13,41,0.016269021
twenty,14,41,0.015478719
twenty,15,41,0.01466477
twenty,16,41,0.013845744
twenty,17,41,0.0130354
twenty,18,41,0.012243744
twenty,19,41,0.011477874
twenty,20,41,0.010742631
twenty,21,41,0.010041123
twenty,22,41,0.00937513
twenty,23,41,0.008745424
twenty,24,41,0.008152024
twenty,25,41,0.007594387
twenty,26,41,0.007071569
twenty,27,41,0.006582339
twenty,28,41,0.006125273
twenty,29,41,0.005698831
twenty,30,41,0.005301405
twenty,31,41,0.004931362
twenty,32,41,0.00458708
twenty,33,41,0.004266964
two,1,42,0
two,2,42,1.34E-08
two,3,42,2.68E-08
two,4,42,4.02E-08
two,5,42,5.36E-08
two,6,42,6.70E-08
two,7,42,8.04E-08
two,8,42,9.38E-08
two,9,42,1.07E-07
two,10,42,1.21E-07
two,11,42,1.34E-07
two,12,42,1.47E-07
two,13,42,1.61E-07
two,14,42,1.74E-07
two,15,42,1.88E-07
two,16,42,2.01E-07
two,17,42,2.14E-07
two,18,42,2.28E-07
two,19,42,2.41E-07
two,20,42,2.55E-07
two,21,42,2.68E-07
two,22,42,2.81E-07
two,23,42,2.95E-07
two,24,42,3.08E-07
two,25,42,3.22E-07
two,26,42,3.35E-07
two,27,42,3.48E-07
two,28,42,3.62E-07
two,29,42,3.75E-07
two,30,42,3.89E-07
two,31,42,4.02E-07
two,32,42,4.15E-07
two,33,42,4.29E-07
ten,1,42,0
ten,2,42,0.001660025
ten,3,42,0.003241302
ten,4,42,0.004747612
ten,5,42,0.006182528
ten,6,42,0.007549427
ten,7,42,0.008851504
ten,8,42,0.010091783
ten,9,42,0.011273127
ten,10,42,0.012398251
ten,11,42,0.013469727
ten,12,42,0.014489992
ten,13,42,0.015461363
ten,14,42,0.016386036
ten,15,42,0.017266098
ten,16,42,0.01810353
ten,17,42,0.018900217
ten,18,42,0.019657951
ten,19,42,0.020378435
ten,20,42,0.021063292
ten,21,42,0.021714066
ten,22,42,0.022332225
ten,23,42,0.022919172
ten,24,42,0.023476241
ten,25,42,0.024004704
ten,26,42,0.024505775
ten,27,42,0.024980611
ten,28,42,0.025430317
ten,29,42,0.025855947
ten,30,42,0.026258507
ten,31,42,0.02663896
ten,32,42,0.026998224
ten,33,42,0.027337177
twenty,1,42,0
twenty,2,42,0.00613522
twenty,3,42,0.010610415
twenty,4,42,0.013793786
twenty,5,42,0.015974786
twenty,6,42,0.017381134
twenty,7,42,0.018192049
twenty,8,42,0.018548575
twenty,9,42,0.018561655
twenty,10,42,0.018318463
twenty,11,42,0.017887384
twenty,12,42,0.017321936
twenty,13,42,0.016663864
twenty,14,42,0.015945595
twenty,15,42,0.015192168
twenty,16,42,0.014422783
twenty,17,42,0.013652015
twenty,18,42,0.012890787
twenty,19,42,0.012147149
twenty,20,42,0.011426883
twenty,21,42,0.010734003
twenty,22,42,0.010071138
twenty,23,42,0.009439846
twenty,24,42,0.008840859
twenty,25,42,0.008274281
twenty,26,42,0.007739742
twenty,27,42,0.007236523
twenty,28,42,0.006763651
twenty,29,42,0.006319976
twenty,30,42,0.005904233
twenty,31,42,0.005515084
twenty,32,42,0.005151161
twenty,33,42,0.004811085
two,1,43,0
two,2,43,8.93E-09
two,3,43,1.79E-08
two,4,43,2.68E-08
two,5,43,3.57E-08
two,6,43,4.47E-08
two,7,43,5.36E-08
two,8,43,6.25E-08
two,9,43,7.15E-08
two,10,43,8.04E-08
two,11,43,8.93E-08
two,12,43,9.83E-08
two,13,43,1.07E-07
two,14,43,1.16E-07
two,15,43,1.25E-07
two,16,43,1.34E-07
two,17,43,1.43E-07
two,18,43,1.52E-07
two,19,43,1.61E-07
two,20,43,1.70E-07
two,21,43,1.79E-07
two,22,43,1.88E-07
two,23,43,1.96E-07
two,24,43,2.05E-07
two,25,43,2.14E-07
two,26,43,2.23E-07
two,27,43,2.32E-07
two,28,43,2.41E-07
two,29,43,2.50E-07
two,30,43,2.59E-07
two,31,43,2.68E-07
two,32,43,2.77E-07
two,33,43,2.86E-07
ten,1,43,0
ten,2,43,0.001509113
ten,3,43,0.002952604
ten,4,43,0.00433338
ten,5,43,0.0056542
ten,6,43,0.006917685
ten,7,43,0.008126321
ten,8,43,0.009282475
ten,9,43,0.010388393
ten,10,43,0.011446213
ten,11,43,0.01245797
ten,12,43,0.0134256
ten,13,43,0.014350947
ten,14,43,0.015235768
ten,15,43,0.016081739
ten,16,43,0.016890455
ten,17,43,0.017663441
ten,18,43,0.018402148
ten,19,43,0.019107965
ten,20,43,0.019782216
ten,21,43,0.020426166
ten,22,43,0.021041024
ten,23,43,0.021627945
ten,24,43,0.022188035
ten,25,43,0.022722349
ten,26,43,0.0232319
ten,27,43,0.023717653
ten,28,43,0.024180535
ten,29,43,0.024621433
ten,30,43,0.025041196
ten,31,43,0.025440637
ten,32,43,0.025820536
ten,33,43,0.026181641
twenty,1,43,0
twenty,2,43,0.005843067
twenty,3,43,0.01017702
twenty,4,43,0.013322034
twenty,5,43,0.015532661
twenty,6,43,0.017011439
twenty,7,43,0.0179196
twenty,8,43,0.018385508
twenty,9,43,0.018511328
twenty,10,43,0.018378318
twenty,11,43,0.018051029
twenty,12,43,0.017580646
twenty,13,43,0.017007657
twenty,14,43,0.016363983
twenty,15,43,0.01567468
twenty,16,43,0.014959311
twenty,17,43,0.014233035
twenty,18,43,0.013507496
twenty,19,43,0.012791524
twenty,20,43,0.012091708
twenty,21,43,0.011412856
twenty,22,43,0.010758359
twenty,23,43,0.010130496
twenty,24,43,0.009530665
twenty,25,43,0.008959581
twenty,26,43,0.008417431
twenty,27,43,0.007903993
twenty,28,43,0.007418741
twenty,29,43,0.006960922
twenty,30,43,0.00652962
twenty,31,43,0.006123806
twenty,32,43,0.005742377
twenty,33,43,0.005384188
two,1,44,0
two,2,44,5.95E-09
two,3,44,1.19E-08
two,4,44,1.79E-08
two,5,44,2.38E-08
two,6,44,2.98E-08
two,7,44,3.57E-08
two,8,44,4.17E-08
two,9,44,4.76E-08
two,10,44,5.36E-08
two,11,44,5.95E-08
two,12,44,6.55E-08
two,13,44,7.15E-08
two,14,44,7.74E-08
two,15,44,8.34E-08
two,16,44,8.93E-08
two,17,44,9.53E-08
two,18,44,1.01E-07
two,19,44,1.07E-07
two,20,44,1.13E-07
two,21,44,1.19E-07
two,22,44,1.25E-07
two,23,44,1.31E-07
two,24,44,1.37E-07
two,25,44,1.43E-07
two,26,44,1.49E-07
two,27,44,1.55E-07
two,28,44,1.61E-07
two,29,44,1.67E-07
two,30,44,1.73E-07
two,31,44,1.79E-07
two,32,44,1.85E-07
two,33,44,1.91E-07
ten,1,44,0
ten,2,44,0.001371921
ten,3,44,0.002689157
ten,4,44,0.003953943
ten,5,44,0.005168412
ten,6,44,0.006334594
ten,7,44,0.007454424
ten,8,44,0.008529748
ten,9,44,0.009562329
ten,10,44,0.010553847
ten,11,44,0.011505908
ten,12,44,0.012420047
ten,13,44,0.013297729
ten,14,44,0.014140355
ten,15,44,0.014949265
ten,16,44,0.015725741
ten,17,44,0.01647101
ten,18,44,0.017186246
ten,19,44,0.017872574
ten,20,44,0.018531071
ten,21,44,0.01916277
ten,22,44,0.019768658
ten,23,44,0.020349685
ten,24,44,0.020906761
ten,25,44,0.021440758
ten,26,44,0.021952512
ten,27,44,0.022442829
ten,28,44,0.022912479
ten,29,44,0.023362204
ten,30,44,0.023792715
ten,31,44,0.024204695
ten,32,44,0.024598803
ten,33,44,0.024975669
twenty,1,44,0
twenty,2,44,0.005564825
twenty,3,44,0.00975773
twenty,4,44,0.012857125
twenty,5,44,0.015086738
twenty,6,44,0.016626499
twenty,7,44,0.017621192
twenty,8,44,0.018187352
twenty,9,44,0.018418763
twenty,10,44,0.01839087
twenty,11,44,0.018164309
twenty,12,44,0.017787752
twenty,13,44,0.017300193
twenty,14,44,0.016732793
twenty,15,44,0.016110374
twenty,16,44,0.015452623
twenty,17,44,0.014775074
twenty,18,44,0.014089897
twenty,19,44,0.013406542
twenty,20,44,0.012732268
twenty,21,44,0.012072562
twenty,22,44,0.011431487
twenty,23,44,0.010811968
twenty,24,44,0.010216013
twenty,25,44,0.009644907
twenty,26,44,0.009099362
twenty,27,44,0.008579636
twenty,28,44,0.008085638
twenty,29,44,0.007617007
twenty,30,44,0.007173175
twenty,31,44,0.006753428
twenty,32,44,0.006356937
twenty,33,44,0.005982803
two,1,45,0
two,2,45,3.97E-09
two,3,45,7.94E-09
two,4,45,1.19E-08
two,5,45,1.59E-08
two,6,45,1.98E-08
two,7,45,2.38E-08
two,8,45,2.78E-08
two,9,45,3.18E-08
two,10,45,3.57E-08
two,11,45,3.97E-08
two,12,45,4.37E-08
two,13,45,4.76E-08
two,14,45,5.16E-08
two,15,45,5.56E-08
two,16,45,5.95E-08
two,17,45,6.35E-08
two,18,45,6.75E-08
two,19,45,7.15E-08
two,20,45,7.54E-08
two,21,45,7.94E-08
two,22,45,8.34E-08
two,23,45,8.73E-08
two,24,45,9.13E-08
two,25,45,9.53E-08
two,26,45,9.92E-08
two,27,45,1.03E-07
two,28,45,1.07E-07
two,29,45,1.11E-07
two,30,45,1.15E-07
two,31,45,1.19E-07
two,32,45,1.23E-07
two,33,45,1.27E-07
ten,1,45,0
ten,2,45,0.001247201
ten,3,45,0.002448831
ten,4,45,0.00360661
ten,5,45,0.004722183
ten,6,45,0.005797124
ten,7,45,0.006832936
ten,8,45,0.007831061
ten,9,45,0.008792876
ten,10,45,0.009719703
ten,11,45,0.010612806
ten,12,45,0.011473397
ten,13,45,0.012302639
ten,14,45,0.013101646
ten,15,45,0.013871487
ten,16,45,0.014613189
ten,17,45,0.015327735
ten,18,45,0.016016073
ten,19,45,0.016679109
ten,20,45,0.017317717
ten,21,45,0.017932734
ten,22,45,0.018524968
ten,23,45,0.019095192
ten,24,45,0.019644152
