"","theta.df","n.df","exp.haplotypes","exp.variance"
"50","two","50","25.4162277241735","11.6631949464362"
"51","two","51","25.7019420098878","11.8672765790893"
"52","two","52","25.9836321507329","12.069617384485"
"53","two","53","26.2614099285106","12.2702346684356"
"54","two","54","26.5353825312504","12.4691462841234"
"55","two","55","26.8056528015206","12.6663705354017"
"56","two","56","27.0723194681873","12.8619260909573"
"57","two","57","27.3354773629242","13.0558319081318"
"58","two","58","27.5952176226644","13.2481071653421"
"59","two","59","27.8516278790747","13.43877120216"
"60","two","60","28.1047924360367","13.6278434662202"
"61","two","61","28.3547924360367","13.8153434662202"
"62","two","62","28.6017060162836","14.0012907303568"
"63","two","63","28.845608455308","14.1857047696191"
"64","two","64","29.0865723107297","14.3686050454211"
"65","two","65","29.3246675488249","14.5500109411127"
"66","two","66","29.559961666472","14.7299417369605"
"67","two","67","29.7925198060069","14.9084165882315"
"68","two","68","30.0224048634781","15.0854545060541"
"69","two","69","30.2496775907509","15.2610743407649"
"70","two","70","30.4743966918744","15.4352947674787"
"71","two","71","30.6966189140967","15.6081342736515"
"72","two","72","30.9163991338769","15.7796111484251"
"73","two","73","31.1337904382247","15.9497434735669"
"74","two","74","31.3488442016656","16.1185491158377"
"75","two","75","31.5616101591124","16.2860457206362"
"76","two","76","31.7721364749019","16.4522507067858"
"77","two","77","31.9804698082352","16.6171812623414"
"78","two","78","32.1866553752455","16.7808543413083"
"79","two","79","32.3907370078986","16.943286661175"
"80","two","80","32.5927572099188","17.1044947011709"
"81","two","81","32.7927572099188","17.2644947011709"
"82","two","82","32.990777011899","17.4233026611749"
"83","two","83","33.1868554432715","17.5809343412979"
"84","two","84","33.3810302005531","17.7374052622141"
"85","two","85","33.5733378928608","17.8927307060011"
"86","two","86","33.763814083337","18.046925717339"
"87","two","87","33.95249332862","18.2000051050214"
"88","two","88","34.1394092164704","18.3519834437409"
"89","two","89","34.3245944016556","18.5028750761141"
"90","two","90","34.5080806401877","18.6526941149155"
"91","two","91","34.6898988220059","18.801454445494"
"92","two","92","34.8700790021861","18.9491697283444"
"93","two","93","35.0486504307575","19.0958534018138"
"94","two","94","35.2256415812","19.2415186849213"
"95","two","95","35.4010801776912","19.3861785802738"
"96","two","96","35.5749932211695","19.5298458770601"
"97","two","97","35.7474070142729","19.6725331541113"
"98","two","98","35.9183471852131","19.8142527830104"
"99","two","99","36.0878387106368","19.9550169312437"
"100","two","100","36.2559059375276","20.0948375653797"
"101","two","101","36.4225726041943","20.2337264542686"
"102","two","102","36.5878618603926","20.3716951722523"
"103","two","103","36.7517962866221","20.5087551023786"
"104","two","104","36.9143979126384","20.6449174396117"
"105","two","105","37.075688235219","20.7801931940342"
"106","two","106","37.235688235219","20.9145931940342"
"107","two","107","37.3944183939492","21.0481280894739"
"108","two","108","37.5518987089098","21.1808083548344"
"109","two","109","37.7081487089098","21.3126442923344"
"110","two","110","37.8631874685997","21.4436460350181"
"111","two","111","38.0170336224459","21.573823549811"
"112","two","112","38.1697053781711","21.70318664054"
"113","two","113","38.3212205296862","21.8317449509165"
"114","two","114","38.4715964695359","21.9595079674805"
"115","two","115","38.6208502008791","22.0864850225039"
"116","two","116","38.7689983490273","22.2126852968523"
"117","two","117","38.9160571725567","22.3381178228038"
"118","two","118","39.0620425740166","22.4627914868243"
"119","two","119","39.2069701102484","22.5867150322979"
"120","two","120","39.3508550023348","22.7098970622136"
"121","two","121","39.4937121451919","22.8323460418054"
"122","two","122","39.6355561168231","22.9540703011485"
"123","two","123","39.7764011872456","23.0750780377087"
"124","two","124","39.9162613271058","23.1953773188472"
"125","two","125","40.0551502159947","23.3149760842793"
"126","two","126","40.1930812504774","23.4338821484885"
"127","two","127","40.3300675518473","23.5521032030954"
"128","two","128","40.466121973616","23.6696468191813"
"129","ten","1",NA,NA
"130","ten","2","1.95238095238095","1.0453514739229"
"131","ten","3","2.86147186147186","1.12799610202208"
"132","ten","4","3.73103707886317","1.24141765211659"
"133","ten","5","4.5643704121965","1.38030654100548"
"134","ten","6","5.3643704121965","1.54030654100548"
"135","ten","7","6.13360118142727","1.71782133390489"
"136","ten","8","6.87434192216801","1.90986522965249"
"137","ten","9","7.58862763645372","2.11394686230555"
"138","ten","10","8.27828280886752","2.32797777788225"
"139","ten","11","8.94494947553418","2.55020000010447"
"140","ten","12","9.59011076585676","2.77912819989635"
"141","ten","13","10.2151107658568","3.01350319989635"
"142","ten","14","10.8211713719174","3.25225434773841"
"143","ten","15","11.409406666035","3.49446888061038"
"144","ten","16","11.9808352374636","3.73936683979406"
"145","ten","17","12.5363907930191","3.98628042004097"
"146","ten","18","13.0769313335597","4.23463688461365"
"147","ten","19","13.6032471230334","4.48394436383803"
"148","ten","20","14.1160676358539","4.73377999828904"
"149","ten","21","14.6160676358539","4.98377999828904"
"150","ten","22","15.1038725139027","5.23363127728964"
"151","ten","23","15.5800629900931","5.4830643838656"
"152","ten","24","16.0451792691629","5.73184750987967"
"153","ten","25","16.4997247237084","5.97978139417719"
"154","ten","26","16.9441691681528","6.2266949744241"
"155","ten","27","17.3789517768485","6.47244166629556"
"156","ten","28","17.8044836917421","6.71689617059614"
"157","ten","29","18.2211503584087","6.9599517261517"
"158","ten","30","18.6293136237149","7.20151774031247"
"159","ten","31","19.0293136237149","7.44151774031246"
"160","ten","32","19.42147048646","7.67988759805948"
"161","ten","33","19.8060858710753","7.91657398859203"
"162","ten","34","20.1834443616414","8.15153304875579"
"163","ten","35","20.5538147320118","8.38472920787788"
"164","ten","36","20.9174510956481","8.61613416655556"
"165","ten","37","21.274593952791","8.84572600329025"
"166","ten","38","21.6254711457734","9.07348839171746"
"167","ten","39","21.9702987319803","9.29940991371509"
"168","ten","40","22.3092817828278","9.52348345580069"
"169","ten","41","22.6426151161611","9.74570567802291"
"170","ten","42","22.9704839686201","9.96607654606914"
"171","ten","43","23.2930646137814","10.1845989185978"
"172","ten","44","23.6105249312417","10.4012781828961"
"173","ten","45","23.9230249312417","10.6161219328961"
"174","ten","46","24.2307172389341","10.8291396843754"
"175","ten","47","24.5337475419644","11.040342622851"
"176","ten","48","24.8322550046509","11.249743380258"
"177","ten","49","25.1263726517097","11.4573558370054"
"178","ten","50","25.4162277241735","11.6631949464362"
"179","ten","51","25.7019420098878","11.8672765790893"
"180","ten","52","25.9836321507329","12.069617384485"
"181","ten","53","26.2614099285106","12.2702346684356"
"182","ten","54","26.5353825312504","12.4691462841234"
"183","ten","55","26.8056528015206","12.6663705354017"
"184","ten","56","27.0723194681873","12.8619260909573"
"185","ten","57","27.3354773629242","13.0558319081318"
"186","ten","58","27.5952176226644","13.2481071653421"
"187","ten","59","27.8516278790747","13.43877120216"
"188","ten","60","28.1047924360367","13.6278434662202"
"189","ten","61","28.3547924360367","13.8153434662202"
"190","ten","62","28.6017060162836","14.0012907303568"
"191","ten","63","28.845608455308","14.1857047696191"
"192","ten","64","29.0865723107297","14.3686050454211"
"193","ten","65","29.3246675488249","14.5500109411127"
"194","ten","66","29.559961666472","14.7299417369605"
"195","ten","67","29.7925198060069","14.9084165882315"
"196","ten","68","30.0224048634781","15.0854545060541"
"197","ten","69","30.2496775907509","15.2610743407649"
"198","ten","70","30.4743966918744","15.4352947674787"
"199","ten","71","30.6966189140967","15.6081342736515"
"200","ten","72","30.9163991338769","15.7796111484251"
"201","ten","73","31.1337904382247","15.9497434735669"
"202","ten","74","31.3488442016656","16.1185491158377"
"203","ten","75","31.5616101591124","16.2860457206362"
"204","ten","76","31.7721364749019","16.4522507067858"
