Pop,Theta,Growth,samplingSize,n.haplotypes
1,two,yes,8,3
1,two,yes,8,4
1,two,yes,8,3
1,two,yes,8,5
1,two,yes,8,4
1,two,yes,8,2
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,4
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,5
1,two,yes,16,5
1,two,yes,16,4
1,two,yes,16,5
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,5
1,two,yes,16,5
1,two,yes,16,3
1,two,yes,16,3
1,two,yes,16,4
1,two,yes,16,6
1,two,yes,16,6
1,two,yes,16,4
1,two,yes,16,3
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,5
1,two,yes,16,5
1,two,yes,16,5
1,two,yes,16,6
1,two,yes,16,5
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,2
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,5
1,two,yes,16,5
1,two,yes,16,3
1,two,yes,16,5
1,two,yes,16,3
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,3
1,two,yes,16,7
1,two,yes,16,4
1,two,yes,16,5
1,two,yes,16,2
1,two,yes,16,5
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,5
1,two,yes,16,5
1,two,yes,16,4
1,two,yes,16,3
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,5
1,two,yes,16,5
1,two,yes,16,5
1,two,yes,16,5
1,two,yes,16,3
1,two,yes,16,3
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,5
1,two,yes,16,5
1,two,yes,16,4
1,two,yes,16,3
1,two,yes,16,4
1,two,yes,16,3
1,two,yes,16,4
1,two,yes,16,3
1,two,yes,16,4
1,two,yes,16,5
1,two,yes,16,3
1,two,yes,16,4
1,two,yes,16,3
1,two,yes,16,5
1,two,yes,16,4
1,two,yes,16,5
1,two,yes,16,4
1,two,yes,16,3
1,two,yes,16,4
1,two,yes,16,2
1,two,yes,16,3
1,two,yes,16,3
1,two,yes,16,3
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,4
1,two,yes,16,5
1,two,yes,16,4
1,two,yes,16,3
1,two,yes,16,4
1,two,yes,16,3
1,two,yes,16,3
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,4
1,two,yes,32,6
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,3
1,two,yes,32,4
1,two,yes,32,6
1,two,yes,32,5
1,two,yes,32,6
1,two,yes,32,4
1,two,yes,32,4
1,two,yes,32,5
1,two,yes,32,4
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,4
1,two,yes,32,5
1,two,yes,32,7
1,two,yes,32,4
1,two,yes,32,4
1,two,yes,32,7
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,6
1,two,yes,32,4
1,two,yes,32,6
1,two,yes,32,5
1,two,yes,32,4
1,two,yes,32,6
1,two,yes,32,7
1,two,yes,32,5
1,two,yes,32,6
1,two,yes,32,7
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,4
1,two,yes,32,4
1,two,yes,32,6
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,3
1,two,yes,32,6
1,two,yes,32,4
1,two,yes,32,6
1,two,yes,32,5
1,two,yes,32,4
1,two,yes,32,6
1,two,yes,32,4
1,two,yes,32,6
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,6
1,two,yes,32,4
1,two,yes,32,5
1,two,yes,32,4
1,two,yes,32,7
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,3
1,two,yes,32,6
1,two,yes,32,6
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,6
1,two,yes,32,4
1,two,yes,32,6
1,two,yes,32,4
1,two,yes,32,4
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,3
1,two,yes,32,6
1,two,yes,32,7
1,two,yes,32,6
1,two,yes,32,4
1,two,yes,32,4
1,two,yes,32,4
1,two,yes,32,6
1,two,yes,32,6
1,two,yes,32,4
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,32,5
1,two,yes,64,7
1,two,yes,64,6
1,two,yes,64,6
1,two,yes,64,5
1,two,yes,64,6
1,two,yes,64,5
1,two,yes,64,6
1,two,yes,64,6
1,two,yes,64,7
1,two,yes,64,6
1,two,yes,64,6
1,two,yes,64,5
1,two,yes,64,6
1,two,yes,64,6
1,two,yes,64,6
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,64,6
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,64,6
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,64,6
1,two,yes,64,5
1,two,yes,64,4
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,64,7
1,two,yes,64,6
1,two,yes,64,6
1,two,yes,64,6
1,two,yes,64,7
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,64,6
1,two,yes,64,7
1,two,yes,64,5
1,two,yes,64,7
1,two,yes,64,8
1,two,yes,64,5
1,two,yes,64,4
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,64,8
1,two,yes,64,5
1,two,yes,64,8
1,two,yes,64,6
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,64,4
1,two,yes,64,5
1,two,yes,64,6
1,two,yes,64,7
1,two,yes,64,7
1,two,yes,64,7
1,two,yes,64,7
1,two,yes,64,5
1,two,yes,64,4
1,two,yes,64,7
1,two,yes,64,7
1,two,yes,64,4
1,two,yes,64,7
1,two,yes,64,7
1,two,yes,64,6
1,two,yes,64,5
1,two,yes,64,7
1,two,yes,64,6
1,two,yes,64,7
1,two,yes,64,4
1,two,yes,64,6
1,two,yes,64,6
1,two,yes,64,5
1,two,yes,64,7
1,two,yes,64,5
1,two,yes,64,6
1,two,yes,64,5
1,two,yes,64,6
1,two,yes,64,6
1,two,yes,64,6
1,two,yes,64,5
1,two,yes,64,6
1,two,yes,64,5
1,two,yes,64,7
1,two,yes,64,7
1,two,yes,64,6
1,two,yes,64,6
1,two,yes,64,6
1,two,yes,64,6
1,two,yes,64,7
1,two,yes,64,5
1,two,yes,64,5
1,two,yes,128,6
1,two,yes,128,7
1,two,yes,128,6
1,two,yes,128,10
1,two,yes,128,5
1,two,yes,128,6
1,two,yes,128,6
1,two,yes,128,6
1,two,yes,128,6
1,two,yes,128,6
1,two,yes,128,7
1,two,yes,128,7
1,two,yes,128,6
1,two,yes,128,7
1,two,yes,128,6
1,two,yes,128,5
1,two,yes,128,6
1,two,yes,128,7
1,two,yes,128,7
1,two,yes,128,7
1,two,yes,128,8
1,two,yes,128,7
1,two,yes,128,9
1,two,yes,128,6
1,two,yes,128,5
1,two,yes,128,6
1,two,yes,128,8
1,two,yes,128,6
1,two,yes,128,7
1,two,yes,128,7
1,two,yes,128,7
1,two,yes,128,7
1,two,yes,128,7
1,two,yes,128,6
1,two,yes,128,7
1,two,yes,128,8
1,two,yes,128,6
1,two,yes,128,7
1,two,yes,128,7
1,two,yes,128,5
1,two,yes,128,6
1,two,yes,128,7
1,two,yes,128,6
1,two,yes,128,6
1,two,yes,128,7
1,two,yes,128,6
1,two,yes,128,8
1,two,yes,128,5
1,two,yes,128,9
1,two,yes,128,7
1,two,yes,128,6
1,two,yes,128,6
1,two,yes,128,8
1,two,yes,128,6
1,two,yes,128,6
1,two,yes,128,6
1,two,yes,128,5
1,two,yes,128,7
1,two,yes,128,7
1,two,yes,128,7
1,two,yes,128,5
1,two,yes,128,6
1,two,yes,128,6
1,two,yes,128,9
1,two,yes,128,6
1,two,yes,128,7
1,two,yes,128,6
1,two,yes,128,8
1,two,yes,128,5
1,two,yes,128,8
1,two,yes,128,8
1,two,yes,128,7
1,two,yes,128,10
1,two,yes,128,7
1,two,yes,128,6
1,two,yes,128,6
1,two,yes,128,5
1,two,yes,128,8
1,two,yes,128,7
1,two,yes,128,9
1,two,yes,128,7
1,two,yes,128,7
1,two,yes,128,6
1,two,yes,128,6
1,two,yes,128,7
1,two,yes,128,5
1,two,yes,128,8
1,two,yes,128,8
1,two,yes,128,6
1,two,yes,128,6
1,two,yes,128,7
1,two,yes,128,7
1,two,yes,128,7
1,two,yes,128,7
1,two,yes,128,7
1,two,yes,128,6
1,two,yes,128,8
1,two,yes,128,8
1,two,yes,128,8
1,two,yes,128,7
2,two,no,2,2
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,2
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,2
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,2
2,two,no,2,2
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,2
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,2
2,two,no,2,1
2,two,no,2,2
2,two,no,2,2
2,two,no,2,2
2,two,no,2,1
2,two,no,2,1
2,two,no,2,2
2,two,no,2,2
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,2
2,two,no,2,1
2,two,no,2,2
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,2
2,two,no,2,2
2,two,no,2,1
