Theta,wak.n,wak.segsites,wak.prob
ten,11,2,0.000133595
ten,12,2,7.97E-05
ten,13,2,4.88E-05
ten,14,2,3.06E-05
ten,15,2,1.97E-05
ten,16,2,1.29E-05
ten,17,2,8.60E-06
ten,18,2,5.84E-06
ten,19,2,4.03E-06
ten,20,2,2.82E-06
ten,21,2,1.99E-06
ten,22,2,1.43E-06
ten,23,2,1.04E-06
ten,24,2,7.62E-07
ten,25,2,5.64E-07
ten,26,2,4.22E-07
ten,27,2,3.18E-07
ten,28,2,2.43E-07
ten,29,2,1.85E-07
ten,30,2,1.44E-07
ten,31,2,1.12E-07
ten,32,2,8.07E-08
ten,33,2,6.38E-08
ten,34,2,7.77E-10
ten,35,2,3.71E-08
ten,36,2,9.24E-08
ten,37,2,-1.15E-09
ten,38,2,1.39E-07
ten,39,2,1.86E-07
ten,40,2,3.34E-07
ten,41,2,-7.09E-07
ten,42,2,-9.38E-07
ten,43,2,-8.34E-06
ten,44,2,1.06E-05
ten,45,2,-3.33E-05
ten,46,2,3.18E-05
ten,47,2,-4.74E-05
ten,48,2,-6.12E-05
ten,49,2,-0.000436721
ten,50,2,-0.000425117
twenty,1,2,0
twenty,2,2,0.04319188
twenty,3,2,0.01125228
twenty,4,2,0.002808634
twenty,5,2,0.000747638
twenty,6,2,0.000215244
twenty,7,2,6.68E-05
twenty,8,2,2.22E-05
twenty,9,2,7.86E-06
twenty,10,2,2.94E-06
twenty,11,2,1.16E-06
twenty,12,2,4.76E-07
twenty,13,2,2.04E-07
twenty,14,2,9.07E-08
twenty,15,2,4.18E-08
twenty,16,2,1.98E-08
twenty,17,2,9.69E-09
twenty,18,2,4.86E-09
twenty,19,2,2.50E-09
twenty,20,2,1.32E-09
twenty,21,2,7.10E-10
twenty,22,2,3.87E-10
twenty,23,2,2.15E-10
twenty,24,2,1.36E-10
twenty,25,2,8.22E-11
twenty,26,2,4.66E-11
twenty,27,2,1.02E-10
twenty,28,2,-5.89E-10
twenty,29,2,5.08E-11
twenty,30,2,-2.28E-09
twenty,31,2,-4.83E-09
twenty,32,2,-3.95E-09
twenty,33,2,-2.86E-08
twenty,34,2,-1.64E-08
twenty,35,2,-4.10E-08
twenty,36,2,-6.23E-08
twenty,37,2,-2.82E-07
twenty,38,2,-8.23E-07
twenty,39,2,2.94E-08
twenty,40,2,-3.53E-06
twenty,41,2,-2.92E-06
twenty,42,2,-4.05E-06
twenty,43,2,-1.32E-05
twenty,44,2,-4.05E-05
twenty,45,2,1.51E-05
twenty,46,2,-6.63E-06
twenty,47,2,-0.000102761
twenty,48,2,0.000227704
twenty,49,2,-0.000191626
twenty,50,2,-0.002244669
two,1,3,0
two,2,3,0.098765432
two,3,3,0.135030864
two,4,3,0.147196296
two,5,3,0.14897037
two,6,3,0.146030095
two,7,3,0.140961823
two,8,3,0.135018755
two,9,3,0.128830276
two,10,3,0.122716072
two,11,3,0.116835419
two,12,3,0.111262093
two,13,3,0.106023604
two,14,3,0.101122418
two,15,3,0.096547715
two,16,3,0.092282017
two,17,3,0.088304929
two,18,3,0.08459527
two,19,3,0.081132243
two,20,3,0.077896061
two,21,3,0.074868249
two,22,3,0.072031756
two,23,3,0.069370963
two,24,3,0.066871625
two,25,3,0.064520788
two,26,3,0.062306687
two,27,3,0.060218646
two,28,3,0.058246978
two,29,3,0.056382884
two,30,3,0.054618371
two,31,3,0.052946171
two,32,3,0.051359663
two,33,3,0.049852814
two,34,3,0.048420114
two,35,3,0.047056528
two,36,3,0.045757445
two,37,3,0.044518642
two,38,3,0.043336237
two,39,3,0.042206672
two,40,3,0.041126637
two,41,3,0.040093136
two,42,3,0.039103283
two,43,3,0.038154707
two,44,3,0.037244827
two,45,3,0.036371237
two,46,3,0.035532082
two,47,3,0.034724949
two,48,3,0.033948972
two,49,3,0.0331994
two,50,3,0.032479686
ten,1,3,0
ten,2,3,0.068301346
ten,3,3,0.040152074
ten,4,3,0.020590524
ten,5,3,0.010531752
ten,6,3,0.005532967
ten,7,3,0.003006223
ten,8,3,0.001689642
ten,9,3,0.000980523
ten,10,3,0.000586033
ten,11,3,0.000359814
ten,12,3,0.000226403
ten,13,3,0.000145675
ten,14,3,9.57E-05
ten,15,3,6.40E-05
ten,16,3,4.36E-05
ten,17,3,3.01E-05
ten,18,3,2.11E-05
ten,19,3,1.50E-05
ten,20,3,1.08E-05
ten,21,3,7.87E-06
ten,22,3,5.79E-06
ten,23,3,4.31E-06
ten,24,3,3.23E-06
ten,25,3,2.45E-06
ten,26,3,1.87E-06
ten,27,3,1.44E-06
ten,28,3,1.12E-06
ten,29,3,8.71E-07
ten,30,3,6.84E-07
ten,31,3,5.39E-07
ten,32,3,4.26E-07
ten,33,3,3.39E-07
ten,34,3,2.60E-07
ten,35,3,1.97E-07
ten,36,3,1.57E-07
ten,37,3,1.22E-07
ten,38,3,1.18E-08
ten,39,3,-7.09E-08
ten,40,3,-4.07E-07
ten,41,3,-5.99E-07
ten,42,3,-1.40E-06
ten,43,3,-4.75E-06
ten,44,3,-1.82E-06
ten,45,3,-2.03E-05
ten,46,3,2.76E-06
ten,47,3,2.71E-06
ten,48,3,-6.99E-05
ten,49,3,-0.000198123
ten,50,3,-0.000336469
twenty,1,3,0
twenty,2,3,0.041135124
twenty,3,3,0.013968902
twenty,4,3,0.004264321
twenty,5,3,0.001333752
twenty,6,3,0.000438945
twenty,7,3,0.000152698
twenty,8,3,5.61E-05
twenty,9,3,2.16E-05
twenty,10,3,8.74E-06
twenty,11,3,3.69E-06
twenty,12,3,1.61E-06
twenty,13,3,7.33E-07
twenty,14,3,3.44E-07
twenty,15,3,1.66E-07
twenty,16,3,8.25E-08
twenty,17,3,4.21E-08
twenty,18,3,2.20E-08
twenty,19,3,1.17E-08
twenty,20,3,6.38E-09
twenty,21,3,3.54E-09
twenty,22,3,2.00E-09
twenty,23,3,1.14E-09
twenty,24,3,6.75E-10
twenty,25,3,3.65E-10
twenty,26,3,2.19E-10
twenty,27,3,2.01E-11
twenty,28,3,-1.99E-10
twenty,29,3,7.29E-11
twenty,30,3,-3.69E-09
twenty,31,3,-2.66E-09
twenty,32,3,-3.15E-09
twenty,33,3,-2.72E-08
twenty,34,3,-2.39E-08
twenty,35,3,-7.11E-08
twenty,36,3,-6.78E-08
twenty,37,3,-1.45E-07
twenty,38,3,-2.34E-07
twenty,39,3,-6.89E-07
twenty,40,3,-2.52E-06
twenty,41,3,-2.53E-06
twenty,42,3,-6.59E-06
twenty,43,3,-1.19E-05
twenty,44,3,-2.01E-05
twenty,45,3,-4.26E-05
twenty,46,3,-2.06E-05
twenty,47,3,-0.000113277
twenty,48,3,-0.000436588
twenty,49,3,-0.00017225
twenty,50,3,-0.001699277
two,1,4,0
two,2,4,0.065843621
two,3,4,0.100437243
two,4,4,0.119140864
two,5,4,0.129084033
two,6,4,0.133925765
two,7,4,0.13568478
two,8,4,0.135536774
two,9,4,0.134195474
two,10,4,0.13210831
two,11,4,0.129562829
two,12,4,0.126747331
two,13,4,0.123786799
two,14,4,0.120764881
two,15,4,0.117737735
two,16,4,0.114742945
two,17,4,0.111805388
two,18,4,0.108941165
two,19,4,0.106160273
two,20,4,0.103468443
two,21,4,0.100868425
two,22,4,0.098360889
two,23,4,0.095945062
two,24,4,0.093619187
two,25,4,0.091380848
two,26,4,0.089227207
two,27,4,0.087155167
two,28,4,0.085161498
two,29,4,0.083242924
two,30,4,0.081396179
two,31,4,0.079618053
two,32,4,0.077905424
two,33,4,0.07625527
two,34,4,0.07466469
two,35,4,0.073130903
two,36,4,0.071651256
two,37,4,0.070223224
two,38,4,0.068844404
two,39,4,0.067512516
two,40,4,0.066225399
two,41,4,0.064980999
two,42,4,0.063777386
two,43,4,0.062612705
two,44,4,0.061485219
two,45,4,0.060393262
two,46,4,0.059335306
two,47,4,0.058309766
two,48,4,0.057315173
two,49,4,0.056350095
two,50,4,0.055413972
ten,1,4,0
ten,2,4,0.062092132
ten,3,4,0.04380875
ten,4,4,0.025948576
ten,5,4,0.014936559
ten,6,4,0.008667498
ten,7,4,0.005129201
ten,8,4,0.003105931
ten,9,4,0.001925149
ten,10,4,0.001220351
ten,11,4,0.000790083
ten,12,4,0.000521664
ten,13,4,0.00035076
ten,14,4,0.000239847
ten,15,4,0.000166578
ten,16,4,0.000117369
ten,17,4,8.38E-05
ten,18,4,6.06E-05
ten,19,4,4.43E-05
ten,20,4,3.28E-05
ten,21,4,2.45E-05
ten,22,4,1.84E-05
ten,23,4,1.40E-05
ten,24,4,1.08E-05
ten,25,4,8.31E-06
ten,26,4,6.47E-06
ten,27,4,5.07E-06
ten,28,4,4.00E-06
ten,29,4,3.18E-06
ten,30,4,2.54E-06
ten,31,4,2.04E-06
ten,32,4,1.65E-06
ten,33,4,1.34E-06
ten,34,4,1.08E-06
ten,35,4,8.84E-07
ten,36,4,7.28E-07
ten,37,4,5.85E-07
ten,38,4,4.68E-07
ten,39,4,4.24E-07
ten,40,4,3.74E-07
ten,41,4,1.40E-07
ten,42,4,4.67E-07
ten,43,4,-6.10E-07
ten,44,4,1.63E-06
ten,45,4,-1.23E-06
ten,46,4,-2.26E-06
ten,47,4,-5.25E-06
ten,48,4,-1.76E-05
ten,49,4,-3.90E-05
ten,50,4,-9.21E-05
twenty,1,4,0
twenty,2,4,0.039176308
twenty,3,4,0.016260484
twenty,4,4,0.005829038
twenty,5,4,0.002082966
twenty,6,4,0.000767749
twenty,7,4,0.000294633
twenty,8,4,0.000117906
twenty,9,4,4.91E-05
twenty,10,4,2.13E-05
twenty,11,4,9.55E-06
twenty,12,4,4.43E-06
twenty,13,4,2.12E-06
twenty,14,4,1.04E-06
twenty,15,4,5.27E-07
twenty,16,4,2.73E-07
twenty,17,4,1.45E-07
twenty,18,4,7.84E-08
twenty,19,4,4.33E-08
twenty,20,4,2.44E-08
twenty,21,4,1.40E-08
twenty,22,4,8.13E-09
twenty,23,4,4.81E-09
twenty,24,4,2.90E-09
twenty,25,4,1.76E-09
twenty,26,4,1.12E-09
twenty,27,4,6.67E-10
twenty,28,4,1.66E-10
twenty,29,4,-4.71E-11
twenty,30,4,-1.41E-09
twenty,31,4,-2.08E-09
twenty,32,4,-5.32E-09
twenty,33,4,-1.48E-08
twenty,34,4,-2.41E-08
twenty,35,4,-5.94E-08
twenty,36,4,-5.75E-08
twenty,37,4,-1.77E-07
twenty,38,4,-2.85E-07
twenty,39,4,-5.85E-07
twenty,40,4,-1.67E-06
twenty,41,4,-3.26E-06
twenty,42,4,-4.55E-06
twenty,43,4,-8.31E-06
twenty,44,4,-1.37E-05
twenty,45,4,-2.85E-05
twenty,46,4,-2.53E-05
twenty,47,4,-0.00012913
twenty,48,4,-0.000211254
twenty,49,4,-0.000383145
twenty,50,4,-0.00089848
two,1,5,0
two,2,5,0.043895748
two,3,5,0.072166495
two,4,5,0.090956243
two,5,5,0.103665506
two,6,5,0.112311294
two,7,5,0.118154666
two,8,5,0.122017356
two,9,5,0.12445298
two,10,5,0.125844858
two,11,5,0.12646452
two,12,5,0.126508029
two,13,5,0.126119282
two,14,5,0.125405362
two,15,5,0.124446909
two,16,5,0.123305266
two,17,5,0.122027502
two,18,5,0.120649992
two,19,5,0.11920102
two,20,5,0.11770268
two,21,5,0.116172293
two,22,5,0.114623475
two,23,5,0.113066941
two,24,5,0.11151112
two,25,5,0.109962638
two,26,5,0.10842668
two,27,5,0.106907286
two,28,5,0.105407577
two,29,5,0.103929933
two,30,5,0.102476143
two,31,5,0.101047512
two,32,5,0.099644961
two,33,5,0.098269097
two,34,5,0.096920274
two,35,5,0.095598642
two,36,5,0.094304189
two,37,5,0.09303677
two,38,5,0.091796135
two,39,5,0.090581954
two,40,5,0.08939383
two,41,5,0.088231314
two,42,5,0.087093922
two,43,5,0.085981139
two,44,5,0.08489243
two,45,5,0.083827248
two,46,5,0.082785033
two,47,5,0.081765226
two,48,5,0.08076726
two,49,5,0.079790558
two,50,5,0.078834638
ten,1,5,0
ten,2,5,0.056447393
ten,3,5,0.045915191
ten,4,5,0.030556256
ten,5,5,0.01939933
ten,6,5,0.012244775
ten,7,5,0.007797541
ten,8,5,0.005037771
ten,9,5,0.003308536
ten,10,5,0.002209491
ten,11,5,0.001499787
ten,12,5,0.001034014
ten,13,5,0.000723444
ten,14,5,0.000513184
ten,15,5,0.000368765
ten,16,5,0.000268207
ten,17,5,0.000197284
ten,18,5,0.000146657
ten,19,5,0.000110106
ten,20,5,8.34E-05
ten,21,5,6.38E-05
ten,22,5,4.92E-05
ten,23,5,3.82E-05
ten,24,5,2.99E-05
ten,25,5,2.35E-05
ten,26,5,1.87E-05
ten,27,5,1.49E-05
ten,28,5,1.19E-05
ten,29,5,9.64E-06
ten,30,5,7.82E-06
ten,31,5,6.37E-06
ten,32,5,5.22E-06
