n,expHap.t2,varHap.t2,expHap.t10,varHap.t10
82,8.004136545,6.472303897,8.004136545,6.472303897
83,8.027946069,6.495546527,8.027946069,6.495546527
84,8.051475481,6.518522306,8.051475481,6.518522306
85,8.074731295,6.541237287,8.074731295,6.541237287
86,8.097719801,6.563697321,8.097719801,6.563697321
87,8.120447073,6.585908065,8.120447073,6.585908065
88,8.142918983,6.607874989,8.142918983,6.607874989
89,8.165141206,6.629603384,8.165141206,6.629603384
90,8.187119228,6.651098372,8.187119228,6.651098372
91,8.208858358,6.672364913,8.208858358,6.672364913
92,8.230363734,6.693407808,8.230363734,6.693407808
93,8.25164033,6.71423171,8.25164033,6.71423171
94,8.272692962,6.734841128,8.272692962,6.734841128
95,8.293526295,6.755240434,8.293526295,6.755240434
96,8.314144852,6.775433866,8.314144852,6.775433866
97,8.334553015,6.795425536,8.334553015,6.795425536
98,8.354755035,6.815219435,8.354755035,6.815219435
99,8.374755035,6.834819435,8.374755035,6.834819435
100,8.394557015,6.854229296,8.394557015,6.854229296
101,8.414164859,6.873452672,8.414164859,6.873452672
102,8.433582334,6.892493109,8.433582334,6.892493109
103,8.452813104,6.911354056,8.452813104,6.911354056
104,8.471860723,6.930038863,8.471860723,6.930038863
105,8.490728647,6.948550789,8.490728647,6.948550789
106,8.509420236,6.966893003,8.509420236,6.966893003
107,8.527938754,6.985068586,8.527938754,6.985068586
108,8.546287378,7.003080537,8.546287378,7.003080537
109,8.564469196,7.020931777,8.564469196,7.020931777
110,8.582487215,7.038625146,8.582487215,7.038625146
111,8.600344357,7.056163411,8.600344357,7.056163411
112,8.618043472,7.073549268,8.618043472,7.073549268
113,8.635587332,7.09078534,8.635587332,7.09078534
114,8.652978636,7.107874187,8.652978636,7.107874187
115,8.670220016,7.124818301,8.670220016,7.124818301
116,8.687314033,7.141620113,8.687314033,7.141620113
117,8.704263185,7.158281992,8.704263185,7.158281992
118,8.721069908,7.174806249,8.721069908,7.174806249
119,8.737736575,7.191195138,8.737736575,7.191195138
120,8.7542655,7.207450858,8.7542655,7.207450858
121,8.770658943,7.223575555,8.770658943,7.223575555
122,8.786919106,7.239571325,8.786919106,7.239571325
123,8.803048138,7.255440212,8.803048138,7.255440212
124,8.819048138,7.271184212,8.819048138,7.271184212
125,8.834921154,7.286805275,8.834921154,7.286805275
126,8.850669185,7.302305306,8.850669185,7.302305306
127,8.866294185,7.317686165,8.866294185,7.317686165
128,8.881798061,7.332949671,8.881798061,7.332949671
