Pop,Theta,samplingSize,n.seg.sites
1,two,4,2
1,two,4,0
1,two,4,0
1,two,4,3
1,two,8,3
1,two,8,2
1,two,8,0
1,two,8,3
1,two,8,0
1,two,8,3
1,two,8,3
1,two,8,5
1,two,8,2
1,two,8,0
1,two,8,3
1,two,8,1
1,two,8,2
1,two,8,5
1,two,8,4
1,two,8,2
1,two,8,2
1,two,8,3
1,two,8,3
1,two,8,2
1,two,8,1
1,two,8,2
1,two,8,1
1,two,8,2
1,two,8,0
1,two,8,3
1,two,8,1
1,two,8,3
1,two,8,1
1,two,8,5
1,two,8,2
1,two,8,1
1,two,8,0
1,two,8,2
1,two,8,4
1,two,8,1
1,two,8,3
1,two,8,1
1,two,8,3
1,two,8,4
1,two,8,4
1,two,8,1
1,two,8,0
1,two,8,5
1,two,8,4
1,two,8,3
1,two,8,5
1,two,8,0
1,two,8,0
1,two,8,2
1,two,8,2
1,two,8,1
1,two,8,4
1,two,8,2
1,two,8,0
1,two,8,4
1,two,8,2
1,two,8,2
1,two,8,0
1,two,8,0
1,two,8,0
1,two,8,2
1,two,8,2
1,two,8,2
1,two,8,3
1,two,8,2
1,two,8,2
1,two,8,2
1,two,8,5
1,two,8,4
1,two,8,1
1,two,8,2
1,two,8,1
1,two,8,0
1,two,8,1
1,two,8,0
1,two,8,2
1,two,8,4
1,two,8,3
1,two,8,1
1,two,8,3
1,two,8,2
1,two,8,2
1,two,8,1
1,two,8,2
1,two,8,2
1,two,8,2
1,two,8,3
1,two,8,4
1,two,8,3
1,two,8,2
1,two,8,4
1,two,8,2
1,two,8,4
1,two,8,1
1,two,8,2
1,two,8,3
1,two,8,1
1,two,8,0
1,two,8,1
1,two,16,4
1,two,16,3
1,two,16,3
1,two,16,2
1,two,16,2
1,two,16,5
1,two,16,4
1,two,16,0
1,two,16,6
1,two,16,4
1,two,16,1
1,two,16,5
1,two,16,5
1,two,16,1
1,two,16,4
1,two,16,3
1,two,16,0
1,two,16,2
1,two,16,2
1,two,16,2
1,two,16,4
1,two,16,3
1,two,16,6
1,two,16,2
1,two,16,1
1,two,16,3
1,two,16,2
1,two,16,8
1,two,16,1
1,two,16,5
1,two,16,3
1,two,16,5
1,two,16,3
1,two,16,3
1,two,16,2
1,two,16,1
1,two,16,4
1,two,16,4
1,two,16,6
1,two,16,4
1,two,16,4
1,two,16,6
1,two,16,9
1,two,16,5
1,two,16,1
1,two,16,6
1,two,16,4
1,two,16,4
1,two,16,1
1,two,16,3
1,two,16,6
1,two,16,2
1,two,16,2
1,two,16,3
1,two,16,2
1,two,16,4
1,two,16,2
1,two,16,4
1,two,16,2
1,two,16,2
1,two,16,2
1,two,16,2
1,two,16,4
1,two,16,3
1,two,16,6
1,two,16,4
1,two,16,6
1,two,16,8
1,two,16,4
1,two,16,4
1,two,16,2
1,two,16,0
1,two,16,4
1,two,16,4
1,two,16,3
1,two,16,3
1,two,16,2
1,two,16,5
1,two,16,3
1,two,16,7
1,two,16,3
1,two,16,3
1,two,16,3
1,two,16,5
1,two,16,2
1,two,16,4
1,two,16,4
1,two,16,4
1,two,16,5
1,two,16,7
1,two,16,2
1,two,16,2
1,two,16,6
1,two,16,3
1,two,16,5
1,two,16,1
1,two,16,1
1,two,16,6
1,two,16,3
1,two,16,2
1,two,32,6
1,two,32,7
1,two,32,4
1,two,32,6
1,two,32,6
