Theta,wak.n,wak.segsites,wak.prob
twenty,3,68,0.003311662
twenty,3,69,0.003159994
twenty,3,70,0.003015
twenty,3,71,0.002876411
twenty,3,72,0.00274397
twenty,3,73,0.002617423
twenty,3,74,0.002496527
twenty,3,75,0.002381049
twenty,3,76,0.00227076
twenty,3,77,0.002165441
twenty,3,78,0.002064882
twenty,3,79,0.001968879
twenty,3,80,0.001877236
twenty,3,81,0.001789765
twenty,3,82,0.001706285
twenty,3,83,0.001626621
twenty,3,84,0.001550606
twenty,3,85,0.00147808
twenty,3,86,0.001408888
twenty,3,87,0.001342883
twenty,3,88,0.001279922
twenty,3,89,0.00121987
twenty,3,90,0.001162595
twenty,3,91,0.001107974
twenty,3,92,0.001055887
twenty,3,93,0.001006219
twenty,3,94,0.00095886
twenty,3,95,0.000913706
twenty,3,96,0.000870656
twenty,3,97,0.000829615
twenty,3,98,0.000790489
twenty,3,99,0.000753192
twenty,3,100,0.00071764
twenty,3,101,0.000683752
twenty,3,102,0.000651452
twenty,3,103,0.000620667
twenty,3,104,0.000591326
twenty,3,105,0.000563363
twenty,3,106,0.000536713
twenty,3,107,0.000511317
twenty,3,108,0.000487115
twenty,3,109,0.000464052
twenty,3,110,0.000442075
twenty,3,111,0.000421134
twenty,3,112,0.00040118
twenty,3,113,0.000382168
twenty,3,114,0.000364052
twenty,3,115,0.000346791
twenty,3,116,0.000330346
twenty,3,117,0.000314677
twenty,3,118,0.000299749
twenty,3,119,0.000285527
twenty,3,120,0.000271977
twenty,3,121,0.000259068
twenty,3,122,0.00024677
twenty,3,123,0.000235054
twenty,3,124,0.000223893
twenty,3,125,0.00021326
twenty,3,126,0.000203131
twenty,3,127,0.000193483
twenty,3,128,0.000184291
twenty,3,129,0.000175535
twenty,4,0,0.000564653
twenty,4,1,0.001542088
twenty,4,2,0.002808634
twenty,4,3,0.004264321
twenty,4,4,0.005829038
twenty,4,5,0.00743927
twenty,4,6,0.00904532
twenty,4,7,0.010608956
twenty,4,8,0.012101414
twenty,4,9,0.013501707
twenty,4,10,0.014795207
twenty,4,11,0.01597244
twenty,4,12,0.017028082
twenty,4,13,0.017960115
twenty,4,14,0.018769123
twenty,4,15,0.019457703
twenty,4,16,0.020029985
twenty,4,17,0.020491229
twenty,4,18,0.020847494
twenty,4,19,0.021105376
twenty,4,20,0.021271785
twenty,4,21,0.021353777
twenty,4,22,0.021358412
twenty,4,23,0.02129265
twenty,4,24,0.021163262
twenty,4,25,0.020976775
twenty,4,26,0.020739421
twenty,4,27,0.020457109
twenty,4,28,0.020135402
twenty,4,29,0.019779509
twenty,4,30,0.019394279
twenty,4,31,0.018984205
twenty,4,32,0.018553427
twenty,4,33,0.018105749
twenty,4,34,0.017644645
twenty,4,35,0.017173277
twenty,4,36,0.01669451
twenty,4,37,0.016210928
twenty,4,38,0.015724853
twenty,4,39,0.015238361
twenty,4,40,0.014753296
twenty,4,41,0.014271292
twenty,4,42,0.013793786
twenty,4,43,0.013322034
twenty,4,44,0.012857125
twenty,4,45,0.012399996
twenty,4,46,0.011951444
twenty,4,47,0.011512143
twenty,4,48,0.011082648
twenty,4,49,0.010663414
twenty,4,50,0.010254799
twenty,4,51,0.009857081
twenty,4,52,0.009470458
twenty,4,53,0.009095065
twenty,4,54,0.008730975
twenty,4,55,0.008378207
twenty,4,56,0.008036737
twenty,4,57,0.007706497
twenty,4,58,0.007387383
twenty,4,59,0.007079263
twenty,4,60,0.006781974
twenty,4,61,0.006495335
twenty,4,62,0.006219141
twenty,4,63,0.005953174
twenty,4,64,0.005697202
twenty,4,65,0.005450982
twenty,4,66,0.005214262
twenty,4,67,0.004986787
twenty,4,68,0.004768292
twenty,4,69,0.004558514
twenty,4,70,0.004357186
twenty,4,71,0.004164042
twenty,4,72,0.003978815
twenty,4,73,0.003801242
twenty,4,74,0.003631062
twenty,4,75,0.003468017
twenty,4,76,0.003311853
twenty,4,77,0.003162321
twenty,4,78,0.003019177
twenty,4,79,0.002882181
twenty,4,80,0.002751101
twenty,4,81,0.00262571
twenty,4,82,0.002505785
twenty,4,83,0.002391111
twenty,4,84,0.00228148
twenty,4,85,0.002176689
twenty,4,86,0.002076541
twenty,4,87,0.001980846
twenty,4,88,0.001889422
twenty,4,89,0.001802089
twenty,4,90,0.001718676
twenty,4,91,0.00163902
twenty,4,92,0.001562959
twenty,4,93,0.001490341
twenty,4,94,0.001421017
twenty,4,95,0.001354846
twenty,4,96,0.001291691
twenty,4,97,0.00123142
twenty,4,98,0.001173907
twenty,4,99,0.001119032
twenty,4,100,0.001066676
twenty,4,101,0.00101673
twenty,4,102,0.000969085
twenty,4,103,0.000923639
twenty,4,104,0.000880294
twenty,4,105,0.000838955
twenty,4,106,0.000799532
twenty,4,107,0.000761939
twenty,4,108,0.000726092
twenty,4,109,0.000691913
twenty,4,110,0.000659325
twenty,4,111,0.000628257
twenty,4,112,0.000598638
twenty,4,113,0.000570403
twenty,4,114,0.000543488
twenty,4,115,0.000517832
twenty,4,116,0.000493377
twenty,4,117,0.000470068
twenty,4,118,0.000447853
twenty,4,119,0.00042668
twenty,4,120,0.000406501
twenty,4,121,0.000387271
twenty,4,122,0.000368944
twenty,4,123,0.000351481
twenty,4,124,0.000334839
twenty,4,125,0.000318981
twenty,4,126,0.00030387
twenty,4,127,0.000289472
twenty,4,128,0.000275752
twenty,4,129,0.00026268
twenty,5,0,9.41088E-05
twenty,5,1,0.000335439
twenty,5,2,0.000747638
twenty,5,3,0.001333752
twenty,5,4,0.002082966
twenty,5,5,0.002975684
twenty,5,6,0.00398729
twenty,5,7,0.005090901
twenty,5,8,0.00625932
twenty,5,9,0.007466384
twenty,5,10,0.008687855
twenty,5,11,0.009901952
twenty,5,12,0.011089641
twenty,5,13,0.01223472
twenty,5,14,0.013323787
twenty,5,15,0.014346106
twenty,5,16,0.015293419
twenty,5,17,0.016159721
twenty,5,18,0.016941017
twenty,5,19,0.017635076
twenty,5,20,0.018241195
twenty,5,21,0.018759958
twenty,5,22,0.019193034
twenty,5,23,0.01954297
twenty,5,24,0.019813019
twenty,5,25,0.020006978
twenty,5,26,0.020129052
twenty,5,27,0.020183728
twenty,5,28,0.020175674
twenty,5,29,0.020109646
twenty,5,30,0.019990419
twenty,5,31,0.019822716
twenty,5,32,0.019611168
twenty,5,33,0.019360265
twenty,5,34,0.019074328
twenty,5,35,0.018757486
twenty,5,36,0.018413657
twenty,5,37,0.018046535
twenty,5,38,0.017659588
twenty,5,39,0.01725605
twenty,5,40,0.016838925
twenty,5,41,0.016410986
twenty,5,42,0.015974786
twenty,5,43,0.015532661
twenty,5,44,0.015086738
twenty,5,45,0.014638948
twenty,5,46,0.01419103
twenty,5,47,0.013744549
twenty,5,48,0.013300899
twenty,5,49,0.012861318
twenty,5,50,0.012426898
twenty,5,51,0.011998595
twenty,5,52,0.011577239
twenty,5,53,0.011163543
twenty,5,54,0.010758115
twenty,5,55,0.010361464
twenty,5,56,0.00997401
twenty,5,57,0.009596091
twenty,5,58,0.009227973
twenty,5,59,0.008869855
twenty,5,60,0.008521875
twenty,5,61,0.008184118
twenty,5,62,0.007856622
twenty,5,63,0.00753938
twenty,5,64,0.007232351
twenty,5,65,0.006935456
twenty,5,66,0.00664859
twenty,5,67,0.006371623
twenty,5,68,0.006104401
twenty,5,69,0.005846753
twenty,5,70,0.005598492
twenty,5,71,0.005359417
twenty,5,72,0.005129317
twenty,5,73,0.004907971
twenty,5,74,0.004695153
twenty,5,75,0.00449063
twenty,5,76,0.004294167
twenty,5,77,0.004105526
twenty,5,78,0.003924468
twenty,5,79,0.003750753
twenty,5,80,0.003584145
twenty,5,81,0.003424406
twenty,5,82,0.003271302
twenty,5,83,0.003124604
twenty,5,84,0.002984083
twenty,5,85,0.002849517
twenty,5,86,0.002720688
twenty,5,87,0.002597381
twenty,5,88,0.002479388
twenty,5,89,0.002366505
twenty,5,90,0.002258533
twenty,5,91,0.002155281
twenty,5,92,0.002056561
twenty,5,93,0.001962191
twenty,5,94,0.001871995
twenty,5,95,0.001785804
twenty,5,96,0.001703451
twenty,5,97,0.00162478
twenty,5,98,0.001549634
twenty,5,99,0.001477867
twenty,5,100,0.001409335
twenty,5,101,0.001343901
twenty,5,102,0.001281432
twenty,5,103,0.001221799
twenty,5,104,0.001164882
twenty,5,105,0.001110561
twenty,5,106,0.001058723
twenty,5,107,0.001009259
twenty,5,108,0.000962064
twenty,5,109,0.000917039
twenty,5,110,0.000874087
twenty,5,111,0.000833115
twenty,5,112,0.000794036
twenty,5,113,0.000756764
twenty,5,114,0.000721218
twenty,5,115,0.00068732
twenty,5,116,0.000654996
twenty,5,117,0.000624175
twenty,5,118,0.000594788
twenty,5,119,0.00056677
twenty,5,120,0.000540058
twenty,5,121,0.000514594
twenty,5,122,0.000490319
twenty,5,123,0.000467179
twenty,5,124,0.000445122
twenty,5,125,0.000424099
twenty,5,126,0.000404061
twenty,5,127,0.000384962
twenty,5,128,0.000366761
twenty,5,129,0.000349414
twenty,6,0,1.88218E-05
twenty,6,1,8.21451E-05
twenty,6,2,0.000215244
twenty,6,3,0.000438945
twenty,6,4,0.000767749
twenty,6,5,0.001209336
twenty,6,6,0.001764927
twenty,6,7,0.002430122
twenty,6,8,0.003195961
twenty,6,9,0.004050046
twenty,6,10,0.004977608
twenty,6,11,0.005962477
twenty,6,12,0.006987909
twenty,6,13,0.008037271
twenty,6,14,0.009094574
twenty,6,15,0.010144881
twenty,6,16,0.011174589
twenty,6,17,0.012171615
twenty,6,18,0.013125495
twenty,6,19,0.014027412
twenty,6,20,0.014870168
twenty,6,21,0.015648126
twenty,6,22,0.016357108
twenty,6,23,0.01699428
twenty,6,24,0.017558028
twenty,6,25,0.018047818
twenty,6,26,0.018464065
twenty,6,27,0.018807997
twenty,6,28,0.019081533
twenty,6,29,0.019287155
twenty,6,30,0.019427808
twenty,6,31,0.01950679
twenty,6,32,0.019527665
twenty,6,33,0.019494185
twenty,6,34,0.019410214
twenty,6,35,0.019279668
twenty,6,36,0.019106466
twenty,6,37,0.01889448
twenty,6,38,0.018647502
twenty,6,39,0.018369211
twenty,6,40,0.018063154
twenty,6,41,0.01773272
twenty,6,42,0.017381134
twenty,6,43,0.017011439
twenty,6,44,0.016626499
twenty,6,45,0.016228989
twenty,6,46,0.015821397
twenty,6,47,0.015406027
twenty,6,48,0.014985002
twenty,6,49,0.014560265
twenty,6,50,0.014133592
twenty,6,51,0.013706592
twenty,6,52,0.013280722
twenty,6,53,0.012857286
twenty,6,54,0.012437452
twenty,6,55,0.012022254
twenty,6,56,0.011612605
twenty,6,57,0.011209302
twenty,6,58,0.010813037
twenty,6,59,0.0104244
twenty,6,60,0.010043895
twenty,6,61,0.00967194
twenty,6,62,0.009308876
twenty,6,63,0.008954977
twenty,6,64,0.008610452
twenty,6,65,0.008275452
twenty,6,66,0.00795008
twenty,6,67,0.007634389
twenty,6,68,0.007328391
twenty,6,69,0.007032064
twenty,6,70,0.006745349
twenty,6,71,0.006468163
twenty,6,72,0.006200394
twenty,6,73,0.005941909
twenty,6,74,0.005692558
twenty,6,75,0.005452172
twenty,6,76,0.005220571
twenty,6,77,0.004997562
twenty,6,78,0.004782943
twenty,6,79,0.004576505
twenty,6,80,0.004378033
twenty,6,81,0.004187308
twenty,6,82,0.004004107
twenty,6,83,0.003828206
twenty,6,84,0.003659381
twenty,6,85,0.003497409
twenty,6,86,0.003342064
twenty,6,87,0.003193128
twenty,6,88,0.00305038
twenty,6,89,0.002913605
twenty,6,90,0.00278259
twenty,6,91,0.002657129
twenty,6,92,0.002537015
twenty,6,93,0.00242205
twenty,6,94,0.002312039
twenty,6,95,0.002206792
twenty,6,96,0.002106124
twenty,6,97,0.002009855
twenty,6,98,0.001917811
twenty,6,99,0.001829822
twenty,6,100,0.001745725
twenty,6,101,0.00166536
twenty,6,102,0.001588574
twenty,6,103,0.001515219
twenty,6,104,0.001445152
twenty,6,105,0.001378234
twenty,6,106,0.001314331
twenty,6,107,0.001253317
twenty,6,108,0.001195066
twenty,6,109,0.001139461
twenty,6,110,0.001086386
twenty,6,111,0.001035732
twenty,6,112,0.000987393
twenty,6,113,0.000941267
twenty,6,114,0.000897257
twenty,6,115,0.00085527
twenty,6,116,0.000815215
