theta.df,n.df,exp.haplotypes,exp.variance
two,1,1,1
two,2,1.666666667,1.222222222
two,3,2.166666667,1.472222222
two,4,2.566666667,1.712222222
two,5,2.9,1.934444444
two,6,3.185714286,2.138526077
two,7,3.435714286,2.326026077
two,8,3.657936508,2.498865583
two,9,3.857936508,2.658865583
two,10,4.03975469,2.807625914
two,11,4.206421356,2.946514803
two,12,4.36026751,3.076692318
two,13,4.503124653,3.199141297
two,14,4.636457986,3.314696853
two,15,4.761457986,3.424071853
two,16,4.879105045,3.527878081
two,17,4.990216156,3.626643513
two,18,5.095479314,3.720826339
two,19,5.195479314,3.810826339
two,20,5.29071741,3.896994139
two,21,5.3816265,3.979638767
two,22,5.468583022,4.059033852
two,23,5.551916356,4.135422741
two,24,5.631916356,4.209022741
two,25,5.708839432,4.280028658
two,26,5.782913507,4.348615764
two,27,5.854342078,4.414942295
two,28,5.923307595,4.479151569
two,29,5.989974262,4.541373791
two,30,6.054490391,4.60172759
two,31,6.116990391,4.66032134
two,32,6.177596451,4.717254306
two,33,6.236419981,4.772617627
two,34,6.293562838,4.826495178
two,35,6.349118394,4.878964314
two,36,6.403172448,4.930096528
two,37,6.455804027,4.979958023
two,38,6.507086078,5.028610226
two,39,6.557086078,5.076110226
two,40,6.605866566,5.122511178
two,41,6.653485613,5.167862652
two,42,6.699997241,5.212210948
two,43,6.745451787,5.255599378
two,44,6.789896231,5.298068514
two,45,6.833374492,5.339656415
two,46,6.875927683,5.380398833
two,47,6.91759435,5.420329388
two,48,6.958410677,5.459479742
two,49,6.998410677,5.497879742
two,50,7.037626363,5.535557558
two,51,7.076087901,5.572539807
two,52,7.11382375,5.608851662
two,53,7.150860787,5.644516957
two,54,7.187224424,5.679558279
two,55,7.22293871,5.713997054
two,56,7.258026429,5.747853626
two,57,7.292509187,5.781147324
two,58,7.326407493,5.813896534
two,59,7.359740826,5.846118756
two,60,7.392527711,5.877830661
two,61,7.424785776,5.909048143
two,62,7.456531807,5.939786364
