Pop,Theta,Growth,samplingSize,n.haplotypes,hap.diversity,Max.Gamma.value
1,two,yes,4,3,0.5504204,5
1,two,yes,4,3,0.5504204,5
1,two,yes,4,1,0.5504204,2
1,two,yes,4,3,0.5504204,5
1,two,yes,4,3,0.5504204,5
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,4,0.5504204,7
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,3,0.5504204,5
1,two,yes,4,1,0.5504204,2
1,two,yes,4,1,0.5504204,2
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,4,0.5504204,7
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,1,0.5504204,2
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,3,0.5504204,5
1,two,yes,4,1,0.5504204,2
1,two,yes,4,2,0.5504204,3
1,two,yes,4,3,0.5504204,5
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,1,0.5504204,2
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,5,0.5504204,9
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,4,0.5504204,7
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,2,0.5504204,3
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,4,0.5504204,7
1,two,yes,8,4,0.5504204,7
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,5,0.5504204,9
1,two,yes,8,4,0.5504204,7
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,5,0.5504204,9
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,4,0.5504204,7
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,1,0.5504204,2
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,2,0.5504204,3
1,two,yes,8,5,0.5504204,9
1,two,yes,8,2,0.5504204,3
1,two,yes,8,2,0.5504204,3
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,4,0.5504204,7
1,two,yes,8,2,0.5504204,3
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,5,0.5504204,9
1,two,yes,8,4,0.5504204,7
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,5,0.5504204,9
1,two,yes,16,5,0.5504204,9
1,two,yes,16,4,0.5504204,7
1,two,yes,16,5,0.5504204,9
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,5,0.5504204,9
1,two,yes,16,5,0.5504204,9
1,two,yes,16,3,0.5504204,5
1,two,yes,16,3,0.5504204,5
1,two,yes,16,4,0.5504204,7
1,two,yes,16,6,0.5504204,10
1,two,yes,16,6,0.5504204,10
1,two,yes,16,4,0.5504204,7
1,two,yes,16,3,0.5504204,5
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,5,0.5504204,9
1,two,yes,16,5,0.5504204,9
1,two,yes,16,5,0.5504204,9
1,two,yes,16,6,0.5504204,10
1,two,yes,16,5,0.5504204,9
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,2,0.5504204,3
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,5,0.5504204,9
1,two,yes,16,5,0.5504204,9
1,two,yes,16,3,0.5504204,5
1,two,yes,16,5,0.5504204,9
1,two,yes,16,3,0.5504204,5
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,3,0.5504204,5
1,two,yes,16,7,0.5504204,12
1,two,yes,16,4,0.5504204,7
1,two,yes,16,5,0.5504204,9
1,two,yes,16,2,0.5504204,3
1,two,yes,16,5,0.5504204,9
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,5,0.5504204,9
1,two,yes,16,5,0.5504204,9
1,two,yes,16,4,0.5504204,7
1,two,yes,16,3,0.5504204,5
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,5,0.5504204,9
1,two,yes,16,5,0.5504204,9
1,two,yes,16,5,0.5504204,9
1,two,yes,16,5,0.5504204,9
1,two,yes,16,3,0.5504204,5
1,two,yes,16,3,0.5504204,5
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,5,0.5504204,9
1,two,yes,16,5,0.5504204,9
1,two,yes,16,4,0.5504204,7
1,two,yes,16,3,0.5504204,5
1,two,yes,16,4,0.5504204,7
1,two,yes,16,3,0.5504204,5
1,two,yes,16,4,0.5504204,7
1,two,yes,16,3,0.5504204,5
1,two,yes,16,4,0.5504204,7
1,two,yes,16,5,0.5504204,9
1,two,yes,16,3,0.5504204,5
1,two,yes,16,4,0.5504204,7
1,two,yes,16,3,0.5504204,5
1,two,yes,16,5,0.5504204,9
1,two,yes,16,4,0.5504204,7
1,two,yes,16,5,0.5504204,9
1,two,yes,16,4,0.5504204,7
1,two,yes,16,3,0.5504204,5
1,two,yes,16,4,0.5504204,7
1,two,yes,16,2,0.5504204,3
1,two,yes,16,3,0.5504204,5
1,two,yes,16,3,0.5504204,5
1,two,yes,16,3,0.5504204,5
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,4,0.5504204,7
1,two,yes,16,5,0.5504204,9
1,two,yes,16,4,0.5504204,7
1,two,yes,16,3,0.5504204,5
1,two,yes,16,4,0.5504204,7
1,two,yes,16,3,0.5504204,5
1,two,yes,16,3,0.5504204,5
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,4,0.5504204,7
1,two,yes,32,6,0.5504204,10
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,3,0.5504204,5
1,two,yes,32,4,0.5504204,7
1,two,yes,32,6,0.5504204,10
1,two,yes,32,5,0.5504204,9
1,two,yes,32,6,0.5504204,10
1,two,yes,32,4,0.5504204,7
1,two,yes,32,4,0.5504204,7
1,two,yes,32,5,0.5504204,9
1,two,yes,32,4,0.5504204,7
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,4,0.5504204,7
1,two,yes,32,5,0.5504204,9
1,two,yes,32,7,0.5504204,12
1,two,yes,32,4,0.5504204,7
1,two,yes,32,4,0.5504204,7
1,two,yes,32,7,0.5504204,12
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,6,0.5504204,10
1,two,yes,32,4,0.5504204,7
1,two,yes,32,6,0.5504204,10
1,two,yes,32,5,0.5504204,9
1,two,yes,32,4,0.5504204,7
1,two,yes,32,6,0.5504204,10
1,two,yes,32,7,0.5504204,12
1,two,yes,32,5,0.5504204,9
1,two,yes,32,6,0.5504204,10
1,two,yes,32,7,0.5504204,12
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,4,0.5504204,7
1,two,yes,32,4,0.5504204,7
1,two,yes,32,6,0.5504204,10
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,3,0.5504204,5
1,two,yes,32,6,0.5504204,10
1,two,yes,32,4,0.5504204,7
1,two,yes,32,6,0.5504204,10
1,two,yes,32,5,0.5504204,9
1,two,yes,32,4,0.5504204,7
1,two,yes,32,6,0.5504204,10
1,two,yes,32,4,0.5504204,7
1,two,yes,32,6,0.5504204,10
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,6,0.5504204,10
1,two,yes,32,4,0.5504204,7
1,two,yes,32,5,0.5504204,9
1,two,yes,32,4,0.5504204,7
1,two,yes,32,7,0.5504204,12
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,3,0.5504204,5
1,two,yes,32,6,0.5504204,10
1,two,yes,32,6,0.5504204,10
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,6,0.5504204,10
1,two,yes,32,4,0.5504204,7
1,two,yes,32,6,0.5504204,10
1,two,yes,32,4,0.5504204,7
1,two,yes,32,4,0.5504204,7
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,3,0.5504204,5
1,two,yes,32,6,0.5504204,10
1,two,yes,32,7,0.5504204,12
1,two,yes,32,6,0.5504204,10
1,two,yes,32,4,0.5504204,7
1,two,yes,32,4,0.5504204,7
1,two,yes,32,4,0.5504204,7
1,two,yes,32,6,0.5504204,10
1,two,yes,32,6,0.5504204,10
1,two,yes,32,4,0.5504204,7
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,32,5,0.5504204,9
1,two,yes,64,7,0.5504204,12
1,two,yes,64,6,0.5504204,10
1,two,yes,64,6,0.5504204,10
1,two,yes,64,5,0.5504204,9
1,two,yes,64,6,0.5504204,10
1,two,yes,64,5,0.5504204,9
1,two,yes,64,6,0.5504204,10
1,two,yes,64,6,0.5504204,10
1,two,yes,64,7,0.5504204,12
1,two,yes,64,6,0.5504204,10
1,two,yes,64,6,0.5504204,10
1,two,yes,64,5,0.5504204,9
1,two,yes,64,6,0.5504204,10
1,two,yes,64,6,0.5504204,10
1,two,yes,64,6,0.5504204,10
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,64,6,0.5504204,10
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,64,6,0.5504204,10
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,64,6,0.5504204,10
1,two,yes,64,5,0.5504204,9
1,two,yes,64,4,0.5504204,7
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,64,7,0.5504204,12
1,two,yes,64,6,0.5504204,10
1,two,yes,64,6,0.5504204,10
1,two,yes,64,6,0.5504204,10
1,two,yes,64,7,0.5504204,12
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,64,6,0.5504204,10
1,two,yes,64,7,0.5504204,12
1,two,yes,64,5,0.5504204,9
1,two,yes,64,7,0.5504204,12
1,two,yes,64,8,0.5504204,14
1,two,yes,64,5,0.5504204,9
1,two,yes,64,4,0.5504204,7
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,64,8,0.5504204,14
1,two,yes,64,5,0.5504204,9
1,two,yes,64,8,0.5504204,14
1,two,yes,64,6,0.5504204,10
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,64,4,0.5504204,7
1,two,yes,64,5,0.5504204,9
1,two,yes,64,6,0.5504204,10
1,two,yes,64,7,0.5504204,12
1,two,yes,64,7,0.5504204,12
1,two,yes,64,7,0.5504204,12
1,two,yes,64,7,0.5504204,12
1,two,yes,64,5,0.5504204,9
1,two,yes,64,4,0.5504204,7
1,two,yes,64,7,0.5504204,12
1,two,yes,64,7,0.5504204,12
1,two,yes,64,4,0.5504204,7
1,two,yes,64,7,0.5504204,12
1,two,yes,64,7,0.5504204,12
1,two,yes,64,6,0.5504204,10
1,two,yes,64,5,0.5504204,9
1,two,yes,64,7,0.5504204,12
1,two,yes,64,6,0.5504204,10
1,two,yes,64,7,0.5504204,12
1,two,yes,64,4,0.5504204,7
1,two,yes,64,6,0.5504204,10
1,two,yes,64,6,0.5504204,10
1,two,yes,64,5,0.5504204,9
1,two,yes,64,7,0.5504204,12
1,two,yes,64,5,0.5504204,9
1,two,yes,64,6,0.5504204,10
1,two,yes,64,5,0.5504204,9
1,two,yes,64,6,0.5504204,10
1,two,yes,64,6,0.5504204,10
1,two,yes,64,6,0.5504204,10
1,two,yes,64,5,0.5504204,9
1,two,yes,64,6,0.5504204,10
1,two,yes,64,5,0.5504204,9
1,two,yes,64,7,0.5504204,12
1,two,yes,64,7,0.5504204,12
1,two,yes,64,6,0.5504204,10
1,two,yes,64,6,0.5504204,10
1,two,yes,64,6,0.5504204,10
1,two,yes,64,6,0.5504204,10
1,two,yes,64,7,0.5504204,12
1,two,yes,64,5,0.5504204,9
1,two,yes,64,5,0.5504204,9
1,two,yes,128,6,0.5504204,10
1,two,yes,128,7,0.5504204,12
1,two,yes,128,6,0.5504204,10
1,two,yes,128,10,0.5504204,18
1,two,yes,128,5,0.5504204,9
1,two,yes,128,6,0.5504204,10
1,two,yes,128,6,0.5504204,10
1,two,yes,128,6,0.5504204,10
1,two,yes,128,6,0.5504204,10
