Pop,Theta,Growth,samplingSize,n.seg.sites
1,two,no,35,0
1,two,no,35,2
1,two,no,35,2
1,two,no,35,0
1,two,no,35,2
1,two,no,35,2
1,two,no,35,1
1,two,no,35,0
1,two,no,35,2
1,two,no,35,3
1,two,no,35,2
1,two,no,35,3
1,two,no,35,3
1,two,no,35,2
1,two,no,35,0
1,two,no,35,0
1,two,no,35,0
1,two,no,35,3
1,two,no,35,0
1,two,no,35,0
1,two,no,35,1
1,two,no,35,3
1,two,no,35,2
1,two,no,35,0
1,two,no,35,3
1,two,no,35,0
1,two,no,35,2
1,two,no,35,0
1,two,no,35,1
1,two,no,35,1
1,two,no,35,1
1,two,no,35,2
1,two,no,35,3
1,two,no,35,2
1,two,no,35,2
1,two,no,35,1
1,two,no,35,0
1,two,no,35,0
1,two,no,35,0
1,two,no,35,1
1,two,no,35,0
1,two,no,35,2
1,two,no,35,0
1,two,no,35,0
1,two,no,35,2
1,two,no,35,1
1,two,no,35,1
1,two,no,35,2
1,two,no,35,3
1,two,no,35,3
1,two,no,35,2
1,two,no,35,2
1,two,no,35,0
1,two,no,35,2
1,two,no,35,0
1,two,no,35,2
1,two,no,35,0
1,two,no,35,2
1,two,no,35,2
1,two,no,35,2
1,two,no,35,3
1,two,no,35,2
1,two,no,35,0
1,two,no,35,1
1,two,no,35,0
1,two,no,35,4
1,two,no,35,1
1,two,no,35,1
1,two,no,35,3
1,two,no,35,2
1,two,no,35,0
1,two,no,35,1
1,two,no,35,2
1,two,no,35,2
1,two,no,35,2
1,two,no,35,2
1,two,no,35,0
1,two,no,35,3
1,two,no,35,0
1,two,no,35,1
1,two,no,35,0
1,two,no,35,3
1,two,no,35,0
1,two,no,46,0
1,two,no,46,2
1,two,no,46,1
1,two,no,46,0
1,two,no,46,0
1,two,no,46,2
1,two,no,46,0
1,two,no,46,4
1,two,no,46,1
1,two,no,46,0
1,two,no,46,1
1,two,no,46,0
1,two,no,46,2
1,two,no,46,4
1,two,no,46,2
1,two,no,46,2
1,two,no,46,0
1,two,no,46,2
1,two,no,46,0
1,two,no,46,1
1,two,no,46,0
1,two,no,46,0
1,two,no,46,2
